"state","year","mean_income"
"Maine",1980,30060.8304797481
"New Hampshire",1980,37043.8977982231
"Vermont",1980,32330.1760957825
"Massachusetts",1980,37604.7082971275
"Rhode Island",1980,36065.6990794337
"Connecticut",1980,41847.7084015365
"New York",1980,35610.3312270832
"New Jersey",1980,38728.0016311886
"Pennsylvania",1980,35262.1088471358
"Ohio",1980,37637.4302849175
"Indiana",1980,36008.7728962267
"Illinois",1980,40235.6947803515
"Michigan",1980,39259.1774818118
"Wisconsin",1980,38335.4666551363
"Minnesota",1980,37260.3673830734
"Iowa",1980,36125.8582297761
"Missouri",1980,35352.2537306449
"North Dakota",1980,33253.6051757718
"South Dakota",1980,31217.9557756993
"Nebraska",1980,34215.5333820169
"Kansas",1980,37057.4925066918
"Delaware",1980,37449.3732095982
"Maryland",1980,42716.4847968822
"District of Columbia",1980,41897.8111803985
"Virginia",1980,39480.642582209
"West Virginia",1980,29766.0456757044
"North Carolina",1980,32759.3825696201
"South Carolina",1980,30364.8102590325
"Georgia",1980,34821.3580586933
"Florida",1980,32190.251486635
"Kentucky",1980,31850.5641055891
"Tennessee",1980,31102.8601105076
"Alabama",1980,28687.8045259596
"Mississippi",1980,29064.2889865668
"Arkansas",1980,29247.3302826076
"Louisiana",1980,31361.3499251963
"Oklahoma",1980,33876.5466921338
"Texas",1980,35042.9207056161
"Montana",1980,34539.0027989787
"Idaho",1980,34405.2342166434
"Wyoming",1980,41098.1753610851
"Colorado",1980,42679.3151245507
"New Mexico",1980,31633.9539215753
"Arizona",1980,36300.2372332176
"Utah",1980,36548.8239983537
"Nevada",1980,40151.0005740949
"Washington",1980,41257.9684400828
"Oregon",1980,36563.2487116243
"California",1980,39901.9978412412
"Alaska",1980,52520.7238892939
"Hawaii",1980,38633.0367687962
"Maine",1981,29595.4186885404
"New Hampshire",1981,36558.6848222422
"Vermont",1981,32114.2567037947
"Massachusetts",1981,36204.5171713869
"Rhode Island",1981,32251.0847573075
"Connecticut",1981,38885.2956807553
"New York",1981,34216.8676083743
"New Jersey",1981,36664.2657451978
"Pennsylvania",1981,33807.885522698
"Ohio",1981,36374.0417590412
"Indiana",1981,32825.245171896
"Illinois",1981,37920.9737524658
"Michigan",1981,36288.1948323315
"Wisconsin",1981,36450.4653292035
"Minnesota",1981,34817.1219738403
"Iowa",1981,34455.2067199921
"Missouri",1981,32554.4966930378
"North Dakota",1981,31650.5425355751
"South Dakota",1981,29464.7765314825
"Nebraska",1981,32817.7150726627
"Kansas",1981,35176.3202614744
"Delaware",1981,36266.7427456493
"Maryland",1981,40816.1275405339
"District of Columbia",1981,38200.6496600326
"Virginia",1981,37095.1145399222
"West Virginia",1981,28130.6473618363
"North Carolina",1981,31787.7667494767
"South Carolina",1981,28509.2052364848
"Georgia",1981,33991.9893053935
"Florida",1981,30974.6702267704
"Kentucky",1981,30507.5688607528
"Tennessee",1981,29881.6433532645
"Alabama",1981,28648.4445483998
"Mississippi",1981,26194.8610896357
"Arkansas",1981,27010.2435531024
"Louisiana",1981,31575.8713500137
"Oklahoma",1981,34122.2119921759
"Texas",1981,33184.0807727967
"Montana",1981,34176.379236397
"Idaho",1981,31665.6763744918
"Wyoming",1981,38525.7808221097
"Colorado",1981,38529.4047646055
"New Mexico",1981,30117.6610545708
"Arizona",1981,35146.7412969622
"Utah",1981,35227.5948010292
"Nevada",1981,38895.1892394269
"Washington",1981,37640.5774876006
"Oregon",1981,35881.2598156332
"California",1981,38124.9480059913
"Alaska",1981,49846.290595989
"Hawaii",1981,37162.3037258483
"Maine",1982,28932.6992206657
"New Hampshire",1982,37126.2329356929
"Vermont",1982,32643.356509967
"Massachusetts",1982,36667.7207056328
"Rhode Island",1982,31262.5016299332
"Connecticut",1982,41157.9442074354
"New York",1982,34049.4420924686
"New Jersey",1982,37465.4123416057
"Pennsylvania",1982,33173.9179041699
"Ohio",1982,35857.0831988712
"Indiana",1982,31676.936278044
"Illinois",1982,38426.0391263385
"Michigan",1982,35738.0073005228
"Wisconsin",1982,36014.8808186521
"Minnesota",1982,34393.6503858377
"Iowa",1982,34295.9092388151
"Missouri",1982,33861.4918666562
"North Dakota",1982,34595.1647842479
"South Dakota",1982,28871.7523717251
"Nebraska",1982,32735.1519099451
"Kansas",1982,35012.9359827979
"Delaware",1982,36513.2046273053
"Maryland",1982,41144.9770567103
"District of Columbia",1982,40251.0318086654
"Virginia",1982,37811.3792071119
"West Virginia",1982,27170.0404133167
"North Carolina",1982,30107.2687333127
"South Carolina",1982,28784.3323144266
"Georgia",1982,33968.5755248207
"Florida",1982,32430.6865975833
"Kentucky",1982,30328.8918128213
"Tennessee",1982,29372.2324783503
"Alabama",1982,28357.5987443033
"Mississippi",1982,27915.9087037024
"Arkansas",1982,26375.5049026258
"Louisiana",1982,32113.9260787388
"Oklahoma",1982,35013.5447220146
"Texas",1982,35123.5415142651
"Montana",1982,34151.8057695152
"Idaho",1982,31991.2431198269
"Wyoming",1982,41515.1746711023
"Colorado",1982,39878.3046802398
"New Mexico",1982,32484.9278860039
"Arizona",1982,34012.5545523916
"Utah",1982,34673.4081857986
"Nevada",1982,39478.5506263628
"Washington",1982,37805.0992465495
"Oregon",1982,34811.8742650937
"California",1982,38069.1070338719
"Alaska",1982,49059.8478700547
"Hawaii",1982,35818.9472413392
"Maine",1983,31145.3435363285
"New Hampshire",1983,34922.7677833615
"Vermont",1983,31187.5886512
"Massachusetts",1983,36676.2467492581
"Rhode Island",1983,32534.4343112792
"Connecticut",1983,42927.4595984608
"New York",1983,33829.8666309536
"New Jersey",1983,37089.1758743817
"Pennsylvania",1983,32712.1811595542
"Ohio",1983,35922.1753125328
"Indiana",1983,32328.9162513047
"Illinois",1983,39074.4135926552
"Michigan",1983,34800.0084339366
"Wisconsin",1983,36699.0853908157
"Minnesota",1983,34975.2869147038
"Iowa",1983,32518.2552741936
"Missouri",1983,33206.7605588419
"North Dakota",1983,34128.7033168991
"South Dakota",1983,28671.5640296847
"Nebraska",1983,33452.225975616
"Kansas",1983,35510.1845182904
"Delaware",1983,38426.8076594964
"Maryland",1983,41827.32990253
"District of Columbia",1983,40786.2966055604
"Virginia",1983,39934.6725528575
"West Virginia",1983,27399.8038125625
"North Carolina",1983,30193.6919415708
"South Carolina",1983,27430.9546099695
"Georgia",1983,33711.1210102568
"Florida",1983,31872.6210044063
"Kentucky",1983,31427.0975511764
"Tennessee",1983,29873.999037106
"Alabama",1983,29107.8993594543
"Mississippi",1983,28567.8593525531
"Arkansas",1983,27128.0336775078
"Louisiana",1983,31881.5467283352
"Oklahoma",1983,35975.1748790339
"Texas",1983,35008.4888686538
"Montana",1983,30681.4958560579
"Idaho",1983,30517.9605985466
"Wyoming",1983,38301.9921628305
"Colorado",1983,39722.201893863
"New Mexico",1983,32193.7331597923
"Arizona",1983,34972.8453954307
"Utah",1983,33318.4814657195
"Nevada",1983,39192.2069900561
"Washington",1983,37969.7510194262
"Oregon",1983,34717.430151523
"California",1983,38193.5079210901
"Alaska",1983,48141.933952487
"Hawaii",1983,35756.3451935938
"Maine",1984,32093.7873105812
"New Hampshire",1984,36543.2748913921
"Vermont",1984,33370.999143756
"Massachusetts",1984,40973.4303398812
"Rhode Island",1984,34448.5029962773
"Connecticut",1984,43200.4998075429
"New York",1984,35060.5576169743
"New Jersey",1984,39728.9403507015
"Pennsylvania",1984,33864.2606204435
"Ohio",1984,36427.7096453701
"Indiana",1984,32851.3694278818
"Illinois",1984,38499.826371643
"Michigan",1984,35384.6556535868
"Wisconsin",1984,36251.8379063252
"Minnesota",1984,37547.383720087
"Iowa",1984,34344.136322349
"Missouri",1984,33393.3687348023
"North Dakota",1984,34074.5930290385
"South Dakota",1984,30267.3846066534
"Nebraska",1984,33568.1135444149
"Kansas",1984,34604.7177576445
"Delaware",1984,37987.062734476
"Maryland",1984,45432.7242981418
"District of Columbia",1984,42050.1402888778
"Virginia",1984,40392.9146681137
"West Virginia",1984,28140.7439005727
"North Carolina",1984,31229.696785854
"South Carolina",1984,28864.8699187548
"Georgia",1984,34079.2996237471
"Florida",1984,33370.6707204123
"Kentucky",1984,31799.2864900403
"Tennessee",1984,30445.1397974798
"Alabama",1984,29962.8282812843
"Mississippi",1984,27587.5149935111
"Arkansas",1984,27044.5617845139
"Louisiana",1984,31788.8634057784
"Oklahoma",1984,35522.0773951247
"Texas",1984,36473.2175275093
"Montana",1984,31393.5437056797
"Idaho",1984,31268.967984829
"Wyoming",1984,37596.7018157443
"Colorado",1984,40638.6090657912
"New Mexico",1984,31257.1791065533
"Arizona",1984,34465.0019459887
"Utah",1984,34575.1267854792
"Nevada",1984,39664.0744454899
"Washington",1984,39299.3461937976
"Oregon",1984,34919.1882919024
"California",1984,38794.373355024
"Alaska",1984,49146.8904486399
"Hawaii",1984,37208.8975428214
"Maine",1985,34634.9044370494
"New Hampshire",1985,40393.7258022492
"Vermont",1985,36351.1916043413
"Massachusetts",1985,43285.5715060597
"Rhode Island",1985,37080.5670368804
"Connecticut",1985,49025.2600882741
"New York",1985,38645.8142201624
"New Jersey",1985,43619.9735207448
"Pennsylvania",1985,34866.9268414409
"Ohio",1985,38313.4148055101
