DATE,WFRBSN09161
1989-07-01,38.0
1989-10-01,38.0
1990-01-01,37.7
1990-04-01,37.7
1990-07-01,37.5
1990-10-01,37.3
1991-01-01,37.2
1991-04-01,37.0
1991-07-01,36.8
1991-10-01,36.6
1992-01-01,36.5
1992-04-01,36.5
1992-07-01,36.4
1992-10-01,36.3
1993-01-01,36.3
1993-04-01,36.1
1993-07-01,35.8
1993-10-01,35.6
1994-01-01,35.5
1994-04-01,35.4
1994-07-01,35.1
1994-10-01,34.9
1995-01-01,34.7
1995-04-01,34.3
1995-07-01,34.0
1995-10-01,34.1
1996-01-01,34.0
1996-04-01,34.1
1996-07-01,34.2
1996-10-01,34.5
1997-01-01,34.6
1997-04-01,34.8
1997-07-01,34.9
1997-10-01,35.0
1998-01-01,35.1
1998-04-01,35.2
1998-07-01,35.1
1998-10-01,35.5
1999-01-01,35.5
1999-04-01,35.7
1999-07-01,35.7
1999-10-01,36.0
2000-01-01,36.0
2000-04-01,36.0
2000-07-01,36.0
2000-10-01,35.9
2001-01-01,35.7
2001-04-01,35.8
2001-07-01,35.7
2001-10-01,35.9
2002-01-01,35.9
2002-04-01,36.0
2002-07-01,35.9
2002-10-01,35.9
2003-01-01,36.1
2003-04-01,36.3
2003-07-01,36.3
2003-10-01,36.4
2004-01-01,36.5
2004-04-01,36.4
2004-07-01,36.5
2004-10-01,36.6
2005-01-01,36.7
2005-04-01,36.9
2005-07-01,37.0
2005-10-01,37.0
2006-01-01,37.2
2006-04-01,37.3
2006-07-01,37.4
2006-10-01,37.5
2007-01-01,37.7
2007-04-01,37.9
2007-07-01,38.0
2007-10-01,38.1
2008-01-01,38.2
2008-04-01,38.4
2008-07-01,38.5
2008-10-01,38.6
2009-01-01,38.8
2009-04-01,39.0
2009-07-01,39.3
2009-10-01,39.5
2010-01-01,39.7
2010-04-01,39.9
2010-07-01,40.0
2010-10-01,40.0
2011-01-01,40.0
2011-04-01,39.9
2011-07-01,39.8
2011-10-01,39.7
2012-01-01,39.7
2012-04-01,39.6
2012-07-01,39.5
2012-10-01,39.4
2013-01-01,39.4
2013-04-01,39.4
2013-07-01,39.3
2013-10-01,39.3
2014-01-01,39.4
2014-04-01,39.3
2014-07-01,39.3
2014-10-01,39.4
2015-01-01,39.4
2015-04-01,39.4
2015-07-01,39.4
2015-10-01,39.3
2016-01-01,39.3
2016-04-01,39.4
2016-07-01,39.3
2016-10-01,39.3
2017-01-01,39.3
2017-04-01,39.3
2017-07-01,39.4
2017-10-01,39.4
2018-01-01,39.4
2018-04-01,39.4
2018-07-01,39.5
2018-10-01,39.5
2019-01-01,39.6
2019-04-01,39.6
2019-07-01,39.6
2019-10-01,39.4
2020-01-01,39.0
2020-04-01,38.6
2020-07-01,38.4
2020-10-01,38.2
2021-01-01,37.9
2021-04-01,37.7
2021-07-01,37.4
2021-10-01,37.2
2022-01-01,36.8
2022-04-01,36.4
2022-07-01,36.2
2022-10-01,36.3
2023-01-01,36.3
2023-04-01,36.2
2023-07-01,36.1
