V1	V2	V3	V4	V5	V6	AGENCYID	V7	V8	V9	V10	V11	V12	V13	V14	V15	V34	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V62F	V63	V63F	V64	V64F	V65	V65F	V66	V66F	V67	V67F	V68	V68F	V69	V69F	V70	V70F	V71	V71F	V72	V72F	V73	V73F	V74	V74F	V75	V75F	V76	V76F	V77	V77F	V78	V78F	V79	V79F	V80	V80F	V81	V81F	V82	V82F	V83	V84	V84F	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V101F	V102	V102F	V103	V103F	V104	V104F	V105	V105F	V106	V106F	V107	V107F	V108	V108F	V109	V109F	V110	V110F	V111	V111F	V112	V112F	V113	V113F	V114	V114F	V115	V115F	V116	V116F	V117	V117F	V118	V118F	V119	V119F	V120	V120F	V121	V121F	V122	V122F	V123	V123F	V124	V125	V126	V127	V128	V129	V130	V131	V132	V132F	V133	V133F	V134	V134F	V135	V135F	V136	V136F	V137	V137F	V138	V139	V140	V141	V142	V143	V144	V145	V146	V147	V148	V149	V150	V151	V152	V153	V154	V155	V156	V157	V158	V159	V160	V161	V162	V163	V164	V165	V166	V167	V168	V169	V170	V171	V172	V173	V174	V175	V176	V177	V178	V179	V179F	V180	V181	V181F	V182	V183	V183F	V184	V185	V185F	V186	V187	V188	V188F	V189	V190	V190F	V191	V192	V192F	V193	V194	V194F	V195	V196	V197	V198	V199	V200	V201	V202	V203	V204	V205	V206	V207	V208	V209	V210	V211	V212	V213	V214	V215	V216	V217	V218	V219	V220	V221	V222	V223	V224	V225	V226	V227	V228	V229	V230	V231	V232	V233	V234	V235	V236	V237	V238	V239	V240	V241	V242	V243	V244	V244F	V245	V245F	V246	V246F	V247	V247F	V248	V248F	V249	V249F	V250	V250F	V251	V251F	V252	V253	V254	V255	V256	V257	V258	V259	V260	V261	V262	V263	V264	V265	V266	V267	V268	V269	V270	V271	V272	V273	V274	V275	V276	V277	V278	V279	V280	V281	V282	V283	V284	V285	V286	V287	V288	V289	V290	V291	V292	V293	V294	V294F	V295	V295F	V296	V296F	V297	V297F	V298	V298F	V299	V299F	V300	V300F	V301	V301F	V302	V303	V304	V304F	V305	V305F	V306	V307	V308	V309	V310	V311	V312	V313	V314	V315	V316	V317	V318	V319	V319F	V320	V320F	V321	V321F	V322	V322F	V323	V324	V325	V326	V327	V328	V329	V330	V331	V332	V333	V334	V335	V336	V337	V338	V339	V340	V341	V342	V343	V344	V345	V346	V347	V348	V349	V350	V351	V352	V353	V354	V355	V356	V357	V358	V359	V360	V361	V362	V363	V364	V365	V366	V367	V368	V369	V370	V371	V372	V373	V374	V375	V376	V377	V378	V379	V380	V381
05	0	000	000	02	90200	0500000000290200	CALIFORNIA HIGHWAY PATROL	SACRAMENTO	06067	692082	33871648	SACRAMENTO	05	6219	CJ-38L	1929	0	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	0	0	99	6	37	6	0	0	6729	0	6678	0	0	0	0	0	0	0	3028	0	95	6	9706	0	95	6	6046	0	101	0	0	0	6460	0	200	0	0	0	18	0	0	0	917355000	6	2	1467323	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	4	0	0	263	0	340	0	400	0	0	0	12	0	20	0	4611	3	489	3	248	0	24	0	922	0	72	0	30	0	1	0	214	0	10	0	25	0	3	0	27	0	2	0	6077	3	601	3	1	1	1	2	1	1	1	1	117960	0	117960	0	51804	0	62964	0	42600	0	51780	0	1	1	3	3	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	 	0	0	0	0	0	0	0	0	1	CUSTOMER SATISFACTION	1	2317	0	1	861	0	0	0	0	0	0	0	 	1	2317	0	0	0	0	0	0	0	0	0	0	 	1	1	1	0	0	1	0	0	0	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	HELICOPTERS, FIXED WING PLANES	0	0	0	0	26	0	0	0	0	3	0	3	0	3	0	3	1	0	1	0	0	0	0	1	0	0	 	0	1	0	1	1	1	0	1	1	BATON  ROUNDS	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	 	1	2311	0	761	0	597	0	15	6	9	0	0	0	432	0	14	0	1	2	42	0	6	0	0	0	0	1	0	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	0	1	1	1	1	1	2	 	1	1	2	0	2	3	3	1	1	1	2	3	1	2	2	1	2	2	1	4	1	3	2	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	1	1	28	1	1
14	2	016	016	02	60100	1420160160260100	CHICAGO POLICE DEPT	CHICAGO	17031	160014	2896016	COOK	03	13237	CJ-38L	1837	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	25	7	0	0	0	0	13466	1	13466	1	0	0	0	0	0	0	3000	1	0	0	16466	5	0	0	10230	1	25	0	222	0	10230	1	779	0	0	 	0	 	0	 	910000000	0	1	6447630	0	1	0	1	1	1	1	1	0	1	0	1	0	0	0	1	3	60	4	480	1	750	1	84	1	0	0	0	0	0	0	6611	0	1430	0	2391	0	1102	0	1401	0	305	0	26	0	5	0	174	3	21	3	0	3	0	3	0	3	0	3	10603	0	2863	0	1	2	2	2	2	2	2	1	89040	0	118506	0	47190	0	70428	0	33522	0	59190	0	1	1	2	4	0	1	0	0	1	0	1	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	 	1	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	1	1300	0	0	0	0	 	1	0	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	1	0	1	1	1	1	0	 	87	1	0	0	48	 	0	0	81	 	16	 	72	0	4	0	0	0	1	0	0	1	0	0	0	0	 	1	1	1	0	0	0	0	0	0	 	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	 	1	1865	0	1432	1	20	1	0	0	0	4	5	0	29	0	412	 	2	0	47	4	29	1	0	0	0	1	1	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	1	1	1	1	3	 	1	1	1	1	1	3	1	1	1	1	1	1	3	4	1	1	1	1	2	4	1	3	1	0	1	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	1	1	0	0	1	1	1	1	10	1	1
10	1	013	013	02	50500	1010130130250500	MIAMI-DADE POLICE DEPARTMENT	MIAMI	12086	500056	2253362	MIAMI-DADE	02	2825	CJ-38L	1846	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	9	0	4	0	1	0	3118	0	3008	0	0	0	0	0	0	0	1298	0	454	6	4306	0	454	0	1554	0	224	0	29	0	1060	0	1054	0	0	3	48	0	30	0	351683000	2	2	14132268	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	4	0	0	672	0	392	4	0	0	560	4	40	0	8	0	1030	0	254	0	315	0	223	0	994	0	169	0	0	0	0	0	19	0	4	0	0	0	0	0	0	0	0	0	2358	0	650	0	1	1	1	1	1	1	1	1	122864	0	181789	0	38635	0	64712	0	28891	2	48106	0	1	3	3	4	1	1	1	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	1	A BIENNIAL SURVEY WAS CONDUCED IN 1998	0	0	1	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	 	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	 	88	0	0	0	0	0	0	0	3	0	3	0	6	0	6	0	1	0	0	1	0	1	1	1	1	0	 	1	1	0	1	1	0	0	0	0	 	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	STRIKING/KICKING	0	1819	0	1333	0	187	0	2	0	4	0	11	0	26	0	206	0	1	1	30	0	8	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	0	33	0	12	0	0	0	1	1	1	1	1	3	 	3	2	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	3	1	1	3	1	0	1	1	1	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	1	10	1	1
05	2	019	027	02	60100	0520190270260100	LOS ANGELES POLICE DEPT	LOS ANGELES	06037	448049	3694820	LOS ANGELES	03	8998	CJ-38L	1869	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	18	0	70	0	0	0	10045	0	9341	0	0	0	0	0	0	0	3068	0	2	0	12409	7	2	0	5853	0	5853	0	104	0	5853	0	1583	0	21	0	0	0	0	0	891679649	0	2	10338543	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	4	0	0	664	7	400	7	12	0	0	0	12	0	0	0	3512	0	793	0	995	0	280	0	2540	0	554	0	38	0	11	0	533	0	85	0	0	3	0	3	0	3	0	3	7618	0	1723	0	1	1	1	1	1	2	1	2	228677	0	228677	0	67642	0	79640	0	46307	0	65824	0	1	1	3	3	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	COMM. POLICE ADVISORY BD MEMBERS SATISFACTION SURV	0	1	1	1	1	1	1	1	0	 	0	0	0	0	0	0	1	1500	4	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	 	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	 	327	0	0	0	25	0	0	0	0	4	0	0	0	4	0	0	1	0	1	0	0	1	1	0	0	0	 	1	2	1	1	1	1	0	1	1	BEAN BAG SHOTGUN	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	 	0	1709	0	1488	0	393	0	1	0	19	7	2	0	497	0	250	0	2	0	30	0	29	0	1	1	1	0	1	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	1	1	1	1	3	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	10	1	1
10	0	000	000	02	90100	1000000000290100	FLORIDA HIGHWAY PATROL	TALLAHASSEE	12073	824000	15982378	LEON	05	1740	CJ-38L	1939	0	0	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	0	1	0	47	6	0	0	0	0	1771	0	1658	0	0	3	0	0	0	3	480	0	0	3	2138	0	0	3	1539	0	0	0	0	0	1539	0	0	3	0	0	0	0	0	0	141237296	0	2	1649453	 	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	4	0	0	672	4	0	4	0	4	0	4	10	5	0	4	1122	0	121	0	191	0	36	0	157	0	14	0	5	0	0	0	7	0	2	0	0	3	0	3	2	0	1	0	1484	0	174	0	1	1	1	2	2	2	2	1	56484	0	115212	0	26084	0	44021	0	21063	0	34001	0	3	4	4	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	 	0	0	1	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	 	52	0	0	3	4	0	0	3	0	0	0	0	0	3	0	3	1	1	1	1	0	0	0	1	0	0	 	0	3	0	1	1	0	0	0	0	 	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	 	1	1706	0	270	0	21	0	11	6	3	0	0	0	44	0	0	0	1	2	31	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	145	7	0	0	0	0	0	0	1	1	1	1	2	3	 	4	4	2	0	3	3	4	4	3	4	3	3	1	4	4	2	4	4	4	4	1	2	4	0	0	0	1	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	28	1	1
22	0	000	000	02	90200	2200000000290200	MASSACHUSETTS STATE POLICE	FRAMINGHAM	25025	112007	6349097	SUFFOLK	05	2565	CJ-38L	1865	1	1	0	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	0	46	0	0	3	0	3	2221	0	2221	0	0	3	0	3	0	3	369	0	0	3	2590	0	0	3	2221	0	75	0	10	0	1543	0	0	3	0	3	0	3	0	3	223577991	0	2	675000	0	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	4	0	0	1040	0	0	0	480	0	0	0	17	 	0	0	1800	0	175	0	232	0	14	0	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	2032	3	189	3	1	1	1	2	2	1	2	1	109937	0	115433	0	50789	0	60353	0	37552	0	51896	0	1	1	3	4	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	 	1	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	1	45	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	 	1	1	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	AIR WING MOUNTAIN BIKE JET SKI	25	4	8888	8	25	4	8888	8	4	0	0	3	48	0	0	3	0	0	0	0	0	0	0	1	0	0	 	0	3	1	1	1	1	0	0	0	 	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	 	0	1700	0	0	3	0	3	1	0	3	0	6	0	45	0	12	0	1	2	26	0	20	0	1	0	0	0	1	0	0	0	0	1	1	0	1	10	0	0	3	0	3	0	3	1	1	1	1	1	3	 	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	28	1	1
44	2	101	008	02	60100	4421010080260100	HOUSTON POLICE DEPT	HOUSTON	48201	336042	1953631	HARRIS	03	5298	CJ-38L	9999	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	11	0	29	0	0	3	5407	0	5343	0	0	3	64	0	0	3	2033	0	0	3	7440	0	0	3	3572	0	106	0	0	3	3572	0	1052	0	82	0	0	3	0	3	425867364	0	2	8352995	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	3	60	0	560	0	560	7	0	0	440	0	20	0	20	0	2911	0	311	0	788	0	247	0	869	0	90	0	8	0	0	0	107	0	12	0	0	3	0	3	0	3	0	3	4683	0	660	0	1	2	1	1	1	1	1	1	78208	0	145314	0	44419	0	48433	0	30524	0	42934	0	2	1	1	4	0	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	 	0	1	1	1	1	0	1	0	0	 	0	0	0	1	430	0	1	1570	0	0	0	0	 	1	2500	0	0	0	0	0	0	0	0	0	0	 	1	1	0	0	1	5	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	2	1	1	1	1	0	1	0	 	235	0	0	3	0	3	0	3	81	 	16	 	24	0	6	0	0	0	1	1	0	0	0	1	0	0	 	0	3	1	0	1	1	0	0	0	 	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	 	0	1681	0	1307	0	503	0	1	0	10	0	11	0	44	0	430	1	2	0	0	3	41	0	0	0	0	1	1	1	1	0	0	1	1	0	2	0	0	0	0	0	0	0	0	1	1	1	1	1	2	 	1	1	1	2	1	1	4	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	10	1	1
33	2	031	001	02	60300	3320310010260300	NEW YORK CITY POLICE DEPT	NEW YORK	36061	560070	8008278	NEW YORK CITY	03	36813	CJ-38L	1845	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	97	0	0	3	0	3	40435	0	40435	0	0	0	0	0	0	0	12594	0	5800	6	53029	0	5800	6	26365	0	26365	3	316	0	26365	0	9109	0	0	3	0	3	0	3	3210000000	0	2	21480669	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	3	60	0	510	6	833	6	0	3	700	0	0	3	60	0	23741	0	2647	0	3510	0	1848	0	5650	0	1544	0	44	0	12	0	594	0	77	0	0	3	0	3	631	0	137	0	34170	0	6265	0	1	1	2	2	2	1	2	2	150500	0	150500	0	55413	0	62857	0	31305	0	49023	0	1	1	4	4	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	 	0	1	1	1	1	1	1	1	0	 	0	0	0	0	0	0	1	2228	4	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	 	1	1	0	0	0	4	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1	HELICOPTERS	3390	0	0	0	170	0	0	0	425	0	0	3	3	0	0	3	0	0	1	0	0	1	0	0	0	0	 	1	1	1	1	1	0	0	0	0	 	0	1	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	1	1	WATER CANNON/SHEPARDS HOOK/P/S	0	1462	0	1905	0	2950	0	0	0	6	0	27	0	902	0	1526	0	2	0	49	0	96	0	1	1	0	0	1	1	1	0	0	1	0	0	1	105	6	1100	6	0	0	0	0	1	1	1	1	1	3	 	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	2	1	2	1	0	1	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	1	1	1	1	1	10	1	1
10	1	006	006	02	70100	1010060060270100	BROWARD COUNTY SHERIFF DEPARTMENT	FORT LAUDERDALE	12011	268056	1623018	BROWARD	01	1030	CJ-38L	1952	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	14	7	22	0	4	0	1310	0	1310	6	1	0	1189	6	0	0	1612	6	65	0	4111	0	66	0	1310	3	1310	3	71	0	962	5	348	0	0	0	0	0	0	0	305100710	0	2	255056	 	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	4	0	0	672	0	58	0	0	0	112	0	10	0	14	0	962	0	96	0	123	0	28	0	88	0	5	0	2	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	1180	0	130	0	1	1	1	1	1	2	1	1	142904	0	142904	0	39510	0	61764	0	32500	0	50780	0	2	1	3	4	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	 	0	1	1	1	1	1	1	1	0	 	1	950	0	1	768	0	0	0	0	0	0	0	 	1	50	0	1	30	0	0	0	0	0	0	0	 	1	1	1	0	0	4	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	 	28	0	0	0	13	 	0	0	93	 	0	4	4	4	0	4	0	0	1	1	0	1	1	1	1	1	.38	1	2	1	0	1	1	0	1	0	 	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	 	0	1419	4	879	4	174	 	1	0	3	0	11	0	56	4	139	0	1	1	21	0	11	0	1	0	0	0	1	1	1	0	0	1	0	0	1	12	0	0	0	12	0	0	0	1	1	1	1	2	3	 	1	1	2	0	1	1	2	2	1	2	1	2	1	1	1	1	2	1	2	2	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	36	1.0222	1.0222
44	0	000	000	02	03600	4400000000203600	TEXAS STATE POLICE	AUSTIN	48453	064000	20851820	TRAVIS	05	2873	CJ-38L	1935	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	14	4	133	4	0	0	3119	0	3119	0	0	3	0	3	0	3	3906	0	0	3	7025	0	0	3	1880	0	0	3	0	3	2130	0	512	0	0	3	0	3	0	3	350560935	0	2	7500000	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	2	0	0	560	0	697	0	960	1	0	3	20	0	0	3	1971	0	80	0	310	0	32	0	626	0	48	0	38	0	2	0	12	0	0	0	0	3	0	3	0	3	0	3	2957	0	162	0	2	2	2	1	1	2	2	2	78258	 	97261	 	43400	0	43400	 	29000	0	29000	 	3	4	4	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	 	1	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	 	1	8	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	4	1	0	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	1	0	0	1	1	1	0	1	0	2	1	0	0	0	0	0	0	 	258	0	0	3	0	3	0	3	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	.357 SEMI AUTO	0	3	0	0	1	0	0	0	0	 	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	 	1	1329	0	475	0	6	0	8	4	7	0	6	0	0	3	0	3	1	2	29	0	0	0	1	1	1	0	1	1	1	0	0	1	1	0	1	1000	4	15	0	0	3	0	3	1	1	1	1	1	2	 	4	4	2	0	4	4	4	4	1	4	4	2	2	2	4	1	4	1	4	4	1	4	4	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	28	1	1
