SURVEYID	FORMTYPE	RESPTYPE	AGCYTYPE	AGENCY	CITY	STATE	ZIPCODE	SWNAUTHEMP	SWNFTEMP	SWNPTEMP	CIVFTEMP	CIVPTEMP	TOTFTEMP	TOTPTEMP	FTRESERVESWN	PTRESERVESWN	FTRESERVECIV	PTRESERVECIV	FTGANGOFF	PTGANGOFF	FTDRUGOFF	PTDRUGOFF	FTTERROFF	PTERROFF	FTHUMTRFOFF	PTHUMTRFOFF	NUMRESPOFF	NUMCPO	NUMSRO	NUMPATR	NUMINVST	NUMJAIL	NUMCRTSEC	NUMPROCSERV	OPBUDGET	OPBUDGEST	DRUGFORF	GAMBFORF	OTHRFORF	ASFOREST	MINEDUC	EDREQEXM	BACKGRND	CREDHIS	CRIMHIS	DRIVHIS	INTERVW	PERSTEST	POLYEXAM	PSYCHEVAL	VOICESTRESS	WRITAPTEST	ANPROBSOLV	CULTDIV	CONFMGT	SECLANG	VOLHIS	DRUGTEST	MEDEXAM	PHYSTEST	TOTACAD	TOTFIELD	TOTINSRV	WHITE	BLACK	HISPANIC	ASIAN	NATHAW	AMERIND	MULTRACE	UNKRACE	MALE	FEMALE	TOTGENDER	SWNBILING	CIVBILING	SWNINTERP	CIVINTERP	VOLINTERP	CONINTERP	OTHINTERP	INTERPDESC	EDUCPAY	HAZARDPAY	MERITPAY	SHIFTPAY	SKILLPAY	LANGPAY	TUITIONPAY	MILPAY	COLLBARG	RESPAY	CHIEFMIN	CHIEFMAX	SGTMIN	SGTMAX	ENTRYMIN	ENTRYMAX	OPER911	NUMWIRE	EXACTLOC	GENLOC	CARPAT	MOTOPAT	FOOTPAT	AIRPAT	BOATPAT	HORSEPAT	BIKEPAT	SEGPAT	OTHERPAT	OTHPATDESC	CPTRNNEW	CPTRNINSERV	CPMISSION	CPSARA	CPSARANUM	CPACADEMY	CPPLAN	CPGEO	CPGEONUM	CPPROBSOLV	CPTECHUP	CPPARTNER	CPSURVEY	CPUNIT	CPNONE	ADVGRP	BUSGRP	FAITHORG	LOCGOVT	OTHLOCLEA	NEIGHASC	SENIORGRP	SCHOOLGRP	YOUTHSERV	EMAILMRKT	WEBFEEDBACK	WEBMAPS	WEBSTATS	LISTSERV	REV911NOT	MASSNOTNUM	NONEM311	EREPORTING	ECRIMEREP	OTHRCP	OTHCPDESC	TERRPLAN	INTEROP	TERRPREPDIV	TERRPREPFEAR	TERPREPINFO	TERRPREPMEET	TERRPREPINCR	TERRPREPEXER	OTHTERRPREP	TERRPREPDESC	SWNINTEL	CIVINTEL	SEMIPRIM	SEMIBACK	PRIM10MM	BACK10MM	PRIM9MM	BACK9MM	PRIM45	BACK45	PRIM40	BACK40	PRIM357	BACK357	PRIM380	BACK380	PRIMOTHCAL	BACKOTHCAL	PRIMANYSEMI	BACKANYSEMI	REVOPRIM	REVOBACK	NOBACKUP	ASSLTWEAP	SHOTGUN	CARBINE	RIFLE	OTHSECWP	SECGUNDESC	NOSECGUN	ARMORREQ	NUMDOGS	NUMHORSES	TRADBATON	PR24BATON	COLLBATON	SOFTPROJ	BLACKJACK	RUBBULLET	OTHIMP	OTHIMPDESC	OCPEPPER	OTHCHEM	OTHCHEMDESC	CED	NECKHOLD	OTHNONLETH	OTHACTDESC	DIGPRINTS	DIGFACEREG	DIGMUGSHOT	DIGPHOTO	DIGCOMP	DIGNONE	INFRARED	GOGGLES	IMAGEINT	LPREADER	LASERRANGE	OPTICNONE	ENGDISRUPT	TIREDEFLATE	VEHTRACK	NOVEHSTOP	NUMMRKCARS	NUMOTHMRK	NUMUMKCARS	NUMOTHUNM	NUMPLANES	NUMCOPTERS	NUMBOATS	NUMMOTOR	TAKEHOME	PERSUSE	OUTSIDEJUR	VIDCAM	NUMCARCAM	NUMFIXCAM	NUMMOBCAM	SHOTSENSOR	NUMSENSOR	COMCOMMPROB	COMBOOKING	COMCRIMANL	COMCRIMEMAP	COMINVEST	COMCAD	COMFLEET	COMHOTSPOT	COMINFCOMM	COMINFWRIT	COMINTEL	COMINFOSHAR	COMINTERNET	COMPERSREC	COMRECMAN	COMRESALLO	COMNONE	ALARMFILES	ARRESTFILES	BIOMETFILES	CFSFILES	CMPLNTFILES	PRINTFILES	INCREPFILES	GUNFILES	INTELFILES	PROPFILES	SUMMFILES	TRAFCITFILES	TRAFSTOPFILES	USEFORCEFILES	WARRANTFILES	GANGFILES	PAWNFILES	PROTORDFILES	NONEFILES	USEINFCOM	NUMPERM	NUMDOCK	NUMPORT	MVRECACC	DRIVRECACC	CRIMRECACC	WARRRANTACC	PROTORDACC	INFOSHARACC	ADDRINFOACC	WEBACC	GISMAPACC	OTHERACC	OTHACCDESC	TRANSMIT	TRNSDESC	AFISOWNER	AFISTERM	AFISOTHER	AFISNONE	EARLYWARN	AUTOUNIT	BIASUNIT	BOMBUNIT	CHILDUNIT	CRPREVUNIT	CRIMANUNIT	CYBERUNIT	DVUNIT	DRUGEDUNIT	FINCRMUNIT	DRUGENFUNIT	GANGUNIT	DUIUNIT	INTAFFUNIT	JUVCRMUNIT	METHUNIT	MISCHDUNIT	REPOFFUNIT	RESPLANUNIT	SCHSAFEUNIT	TERRHOMEUNIT	VICTASSTUNIT	DEADFORCPLCY	LESSTHANPLCY	CODECONDPLCY	OFFDEMPLPLCY	MAXHOURSPLCY	OFFDCONDPLCY	MEDIAPLCY	EAPPLCY	MENTILLPLCY	HOMELESSPLCY	DOMDISPPLCY	JUVENILEPLCY	LIMITENGPLCY	INCUSDTHPLCY	RACIALPRPLCY	CITCOMPPLCY	IMMSTATPLCY	NUMUOFSUST	NUMUOFOTH	NUMUOFPEND	NUMUOFTOT	CCRB	CCRBPOWERS	OUTSIDEINV	IMPBUDGET	IMPTRNACD	IMPTRNFLD	IMPTRNINS	IMPCHFMIN	IMPCHFMAX	IMPSGTMIN	IMPSGTMAX	IMPENTRYMIN	IMPENTRYMAX	IMPGENDER	IMPRACE	IMPSWNINTEL	IMPCIVINTEL	IMPCARCAM	IMPSITECAM	IMPMOBLCAM	IMPMARKED	IMPOTHMKD	IMPUNMARKED	IMPOTHUNMKD	IMPMOTOS	IMPBOATS	IMPPLANES	IMPCOPTERS	IMPMOUNTED	IMPDOCKING	IMPNONDOCK	IMPSARA	IMPGEOG	IMPDRUGTASK	IMPGANGTASK	IMPHUMNTASK	IMPTERRTASK	IMPCELL	ORI	CSLLEA04_ID	POPULATION	LPDSAMPGRP	FINALWT_PAGE1	FINALWT_PAGE2ON
1	L	full	5	ALASKA STATE TROOOPERS	Anchorage	AK	99811	388	366	0	226	0	592	0	0	0	0	0	0	0	29	0	1	0	0	0	366	0	0	295	38	0	9	0	139147000	0	878380	0	60000	0	4	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1098	600	0	0	0	0	0	0	0	0	366	351	15	366	0	0	1	1	1	1	0	 	1	1	0	1	1	0	0	0	1	0	102800	999999	79200	102500	53400	77200	1	1	0	0	1	1	0	1	1	0	0	0	1	SNOWMACHINES AND ATV'S	1	0	0	0	8888	0	0	0	8888	0	0	0	0	0	1	1	0	1	1	1	0	0	1	1	1	1	0	1	0	1	1	0	1	0	0	 	1	1	1	0	1	1	1	1	1	PARTICIPATE IN TERRORISM TASKFORCE	1	4	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	 	0	1	6	0	0	0	1	1	0	1	0	 	1	0	 	1	0	0	 	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	0	152	250	72	31	34	4	104	2	1	1	0	1	33	9	0	0	8888	0	0	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	0	0	1	0	0	88888	88888	88888	8	8	8	8	8	8	8	8	8	8	NA - VALID SKIP	1	 	1	1	1	0	0	3	3	3	1	3	3	1	1	2	2	1	3	1	3	3	2	2	4	3	3	2	3	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	0	0	11	1	12	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	AKAST01	10045062	 	 	1.088889	1.088889
3	L	full	5	ALABAMA DEPARTMENT OF PUBLIC	Montgomery	AL	36102	668	668	0	695	12	1363	12	0	0	0	0	0	0	12	0	0	0	0	0	668	0	0	410	80	0	0	0	163106829	0	99999999	9999999	99999999	0	4	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	480	400	12	486	182	0	0	0	0	0	0	654	14	668	99999	99999	9	9	9	9	9	DK	0	1	1	1	0	0	0	1	0	0	87900	999999	46142	73766	34387	57504	0	8	8	8	1	0	0	0	0	0	0	0	0	 	0	0	1	0	8888	0	0	0	8888	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	 	1	9	0	0	0	0	1	1	0	 	999	999	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	9	9	9	9	9	DK	9	2	999	0	0	0	1	0	0	0	0	 	1	0	 	1	0	0	 	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	900	12	200	75	8	9	1	16	1	0	1	1	100	270	9999	0	8888	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	1	0	200	0	1	1	1	0	0	0	0	0	0	0	 	9	DK	1	0	0	0	9	1	1	1	1	3	1	1	3	3	3	1	3	1	1	3	1	1	3	1	3	1	3	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	99999	99999	0	60	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	ALAST00	10045061	 	 	1.088889	1.088889
17	L	full	5	ARKANSAS STATE POLICE	Little Rock	AR	72209	580	536	0	403	0	939	0	0	0	0	0	0	0	3	0	1	0	14	0	536	1	0	322	82	0	0	0	135000000	1	99999999	9999999	99999999	0	4	0	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	1	1	1	1100	240	40	449	83	1	1	0	2	0	0	513	23	536	3	3	9	9	9	9	9	DK	1	0	1	0	0	1	0	1	0	0	100919	999999	34021	66303	34500	999999	0	8	8	8	1	0	0	1	0	0	0	0	0	 	1	0	0	0	8888	0	0	0	8888	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	 	0	1	0	0	0	0	0	1	0	 	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	 	0	1	16	0	0	0	1	0	0	0	0	 	1	0	 	0	0	0	 	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	445	1	260	45	2	2	0	0	1	0	0	1	445	0	0	0	8888	0	0	1	1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	0	1	1	1	1	1	0	0	0	1	0	600	100	1	1	0	1	0	1	0	1	0	1	FIELD REPORTING SOFTWARE FOR ACCIDENTS	1	 	1	0	0	0	0	2	3	1	1	3	1	1	3	4	2	1	3	1	1	2	1	1	3	1	4	1	3	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	3	27	0	30	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	ARASP00	10045064	 	 	1.088889	1.088889
26	L	full	5	ARIZONA DEPARTMENT OF PUBLIC	Phoenix	AZ	85005	1398	1257	0	965	0	2222	0	0	40	0	30	60	0	31	0	12	0	18	0	899	99999	0	899	302	0	0	0	317571900	1	0	0	22457500	0	4	0	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	1	1	800	400	20	0	0	0	0	0	0	0	1257	99999	99999	99999	70	20	1	1	1	1	0	 	0	0	1	1	0	0	1	0	0	0	139549	139549	64455	74859	41776	58600	1	1	0	1	1	1	0	1	0	0	0	0	0	 	1	0	1	1	1134	1	1	1	1134	1	1	1	1	0	0	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	 	1	1	0	0	1	1	1	1	0	 	57	55	1	1	0	0	0	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	0	 	0	2	26	0	1	1	1	1	0	0	0	 	1	0	 	1	1	0	 	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	824	341	165	55	4	5	0	72	1	0	0	1	234	0	0	0	8888	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	579	0	1	1	1	1	1	0	0	1	0	0	 	1	 	1	1	0	0	1	1	4	1	4	3	1	1	3	3	1	1	1	1	1	4	1	1	3	1	4	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0	7	0	7	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	AZCCHPX	10045063	 	 	1.088889	1.088889
53	L	full	5	CALIFORNIA HIGHWAY PATROL	Sacramento	CA	94298	7507	7146	0	3076	383	10222	383	0	0	0	0	7	3	14	0	14	0	0	0	5809	152	0	5809	153	0	24	0	1696517400	0	0	0	943151	1	4	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1245	440	40	5008	313	1405	193	143	43	0	41	6523	623	7146	845	270	1	1	1	1	0	 	1	0	1	1	1	1	1	1	1	0	154432	175668	74772	90888	61452	74712	1	1	0	1	1	1	1	1	1	1	1	0	0	 	0	0	1	1	5600	1	1	1	5600	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	 	1	0	0	0	0	1	1	1	0	 	16	0	1	1	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	 	0	1	36	4	0	1	1	1	0	0	0	 	1	0	 	1	0	0	 	1	0	1	1	0	0	1	1	0	1	0	0	0	1	1	0	2240	272	425	394	16	15	2	486	1	0	0	1	100	0	0	0	8888	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	100	4000	50	1	1	0	1	1	0	0	0	0	0	 	3	 	0	0	1	0	0	1	3	1	3	2	1	1	3	2	1	1	1	1	1	2	1	1	4	1	2	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	148	0	150	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	CA03499	10045065	 	 	1.088889	1.088889
153	L	full	5	COLORADO STATE PATROL	Lakewood	CO	80215	717	717	0	262	0	979	0	0	0	0	0	1	0	1	0	15	0	0	0	478	0	0	612	17	0	0	0	104000000	0	310000	0	0	0	4	0	1	0	1	1	1	0	1	1	0	1	1	0	0	0	1	1	1	1	1033	140	32	0	0	0	0	0	0	0	717	671	46	717	0	0	0	0	0	1	0	 	0	0	1	0	1	0	0	0	0	1	128388	999999	55464	78840	46872	71232	0	8	8	8	1	1	0	1	0	0	1	0	0	 	1	0	1	0	8888	0	0	1	9999	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	 	1	1	0	0	1	0	1	1	0	 	15	2	1	1	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	 	0	1	6	0	0	0	1	0	0	0	1	PEPPERBALL	1	0	 	1	1	0	 	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	99999	99999	99999	99999	99999	0	0	99999	1	0	0	1	24	0	0	0	8888	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	0	1	1	0	1	1	1	0	0	0	0	0	1	99999	0	0	1	1	1	1	1	1	0	1	0	0	 	1	 	0	0	1	0	0	1	4	4	4	3	2	4	4	4	4	3	3	3	1	4	1	4	4	1	4	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	99999	99999	99999	99999	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	COCSP00	10045066	 	 	1.088889	1.088889
169	L	full	5	CONNECTICUT STATE POLICE	Middletown	CT	06457	1255	1255	60	0	0	1255	60	0	60	0	0	7	0	32	0	11	0	0	0	1255	0	16	1159	96	0	0	0	166906591	0	0	0	1624110	0	4	0	1	1	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	1450	300	50	1101	77	63	10	0	4	0	0	1173	82	1255	0	0	1	1	0	1	0	 	1	1	0	1	0	0	1	0	1	0	151410	151410	68390	83817	46327	75826	1	1	1	1	1	1	0	1	0	0	0	0	0	 	0	0	1	0	8888	1	1	0	8888	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	 	1	1	0	1	1	1	1	1	1	HOMELAND SECURITY TIP LINE	1	0	1	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	0	0	1	1	0	1	0	1	0	 	0	0	192	0	0	0	1	0	0	0	0	 	1	0	 	1	0	0	 	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	4	12	2008	235	1	1	5	26	0	8	8	1	800	0	0	0	8888	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	0	0	1	0	1	854	0	0	1	1	1	1	1	0	0	1	0	0	 	1	 	1	0	0	0	0	1	4	1	4	3	1	1	3	3	3	1	1	3	1	3	3	4	4	1	3	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	CTCSP00	10045067	 	 	1.088889	1.088889
188	L	full	5	DELAWARE STATE POLICE	Dover	DE	19903	665	677	0	235	48	912	48	0	0	0	0	0	0	18	0	0	0	0	0	677	0	30	358	185	0	0	0	110830500	0	0	0	537226	1	2	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	1	1	1320	480	40	577	71	15	9	0	5	0	0	602	75	677	0	0	9	9	9	9	9	DK	1	1	0	1	0	0	1	0	1	0	145750	145750	68816	96554	48278	67749	1	1	1	1	1	1	0	1	0	0	1	0	0	 	1	3	0	0	8888	1	0	0	8888	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	 	1	1	1	0	1	1	1	1	0	 	4	7	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	 	0	1	29	0	0	0	1	0	0	0	0	 	1	0	 	1	0	0	 	1	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	402	16	447	43	3	5	0	4	1	0	0	1	200	15	5	0	8888	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	390	390	50	1	1	1	1	1	1	1	1	1	0	 	3	 	1	0	0	0	1	2	2	2	2	2	1	1	1	4	1	1	3	2	1	1	3	2	1	1	2	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	0	8	0	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	DEDSP00	10045068	 	 	1.088889	1.088889
213	L	full	5	FLORIDA HIGHWAY PATROL	Tallahassee	FL	32399	1669	1664	0	517	0	2181	0	0	497	0	0	0	0	7	0	1	0	0	0	1664	25	0	1386	278	0	0	0	222430381	0	3535847	0	892427	0	4	0	1	1	1	1	1	0	1	1	0	1	0	0	0	0	1	1	1	1	1080	400	20	1119	279	241	0	0	0	0	25	1476	188	1664	88	20	0	0	0	1	0	 	1	0	0	0	1	0	1	0	1	1	47316	196743	36381	94547	33977	79576	0	8	8	8	1	1	0	1	0	0	0	0	0	 	0	0	0	0	8888	0	0	1	1400	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	*FHP (*347) TO REPORT HIGHWAY RELATED EMERGENCIES	1	1	0	0	0	1	1	1	1	ANY DOMESTIC SECURITY RELATED EVENTS	1	0	1	1	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	 	0	0	28	0	0	1	0	0	0	0	0	 	1	0	 	0	0	0	 	1	0	1	1	0	0	1	0	0	1	1	0	0	1	1	0	1732	43	222	9	8	0	0	41	1	0	0	1	448	0	0	0	8888	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	0	0	1	0	1860	67	1	1	1	1	0	1	0	1	1	0	 	3	 	1	0	0	0	1	1	4	2	4	2	1	1	4	4	3	1	3	1	1	3	2	3	1	1	3	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	0	1	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	FLFHP00	10045069	 	 	1.088889	1.088889
305	L	full	5	GEORGIA DEPT OF PUBLIC SAFETY	Atlanta	GA	30371	1232	1030	0	330	0	1360	0	0	0	0	0	0	0	10	8	2	0	0	0	710	12	0	710	10	0	0	0	101592630	0	1314787	0	0	0	4	0	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	1	1	640	480	40	815	206	5	1	1	2	0	0	927	103	1030	0	0	1	0	0	0	0	 	0	0	1	0	0	0	0	0	0	0	53560	220667	58762	58762	35741	48564	0	8	8	8	1	1	0	1	0	0	0	0	0	 	1	0	1	0	8888	0	0	0	8888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	 	1	1	0	0	0	0	0	1	0	 	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	 	0	0	5	0	0	0	1	0	0	0	0	 	1	0	 	1	0	0	 	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	940	20	110	20	0	14	0	10	1	0	0	1	710	0	0	0	8888	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	30	0	1	1	1	1	0	0	0	1	0	0	 	8	 	0	0	0	1	0	4	4	2	4	4	2	4	4	4	4	2	4	1	1	4	4	4	4	1	4	2	4	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	99999	99999	99999	99999	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	GAGSP00	10045070	 	 	1.088889	1.088889
