ORI7	ORI9	SHERIFF_FLAG	TYPE	TRIBALPD	COUNTYPD	AGENCYID	BJS_AGENCYNAME	CITY	STATENAME	STATECODE	ZIPCODE	POP2012	SAMPLETYPE_FINAL	STRATCODE	FTSWORN	FTCIV	PTSWORN	PTCIV	PERS_PDSW_MFT	PERS_PDSW_MPT	PERS_PDSW_FFT	PERS_PDSW_FPT	PERS_FTS_WHT	PERS_FTS_BLK	PERS_FTS_HSP	PERS_FTS_IND	PERS_FTS_ASN	PERS_FTS_HAW	PERS_FTS_TWO	PERS_FTS_UNK	PERS_FTS_RACETOT	PERS_RESP_PATRL	PERS_RESP_INVST	PERS_RESP_JAIL	PERS_RESP_CRT	PERS_RESP_OTHR	PERS_SUP_CHF_M	PERS_SUP_CHF_F	PERS_SUP_INTM_M	PERS_SUP_INTM_F	PERS_SUP_SGT_M	PERS_SUP_SGT_F	PERS_SSW_FT	PERS_SSW_PT	PERS_UPSW	PERS_DUT_NONE	PERS_DUT_ADMN	PERS_DUT_CLN	PERS_DUT_LGL	PERS_DUT_ACCT	PERS_DUT_FSCI	PERS_DUT_RSRCH	PERS_DUT_HR	PERS_DUT_IT	PERS_DUT_VM	PERS_DUT_CD	PERS_DUT_CRT	PERS_DUT_JAIL	PERS_DUT_OTHR	PERS_DUT_SPEC	PAY_SAL_EXC_MIN	PAY_SAL_EXC_MAX	PAY_SAL_SGT_MIN	PAY_SAL_SGT_MAX	PAY_SAL_OFCR_MIN	PAY_SAL_OFCR_MAX	PAY_INCT_EDU	PAY_INCT_VOC	PAY_INCT_LANG	PAY_INCT_SPCL	PAY_INCT_HZRD	PAY_INCT_SD	PAY_INCT_RINC	PAY_INCT_MRT	PAY_INCT_OTHR	PAY_INCT_SPEC	PAY_OUT	PAY_RST_NO	PAY_RST_HRS	PAY_RST_TYPE	PAY_RST_OTHR	PAY_RST_SPEC	PAY_BARG	PAY_SBARG	PAY_RMB_TUIT	PAY_RMB_UNF	PAY_RMB_ARMR	PAY_RMB_SFTY	PAY_RMB_FIRE	PAY_OVER_SW	PAY_OVER_NSW	PAY_FUNC_CRT	PAY_FUNC_SHFT	PAY_FUNC_PTRL	PAY_FUNC_INVS	PAY_FUNC_ADMN	PAY_FUNC_EMRG	PAY_FUNC_EVNT	PAY_FUNC_OTHR	PAY_FUNC_SPEC	PAY_LMT	PAY_VEH_MRK	PAY_VEH_UMRK	HIR_FRZ	HIR_MTH_SW10	HIR_MTH_SW11	HIR_MTH_SW12	HIR_MTH_NSW10	HIR_MTH_NSW11	HIR_MTH_NSW12	HIR_NBR	HIR_NBR_DRCT_FT	HIR_NBR_DRCT_PT	HIR_NBR_PRE_FT	HIR_NBR_PRE_PT	HIR_NBR_LAT_FT	HIR_NBR_LAT_PT	HIR_NBR_TFT	HIR_NBR_TPT	HIR_TRN_NO_L	HIR_TRN_NO_P	HIR_TRN_CRS_L	HIR_TRN_CRS_P	HIR_TRN_FLD_L	HIR_TRN_FLD_P	HIR_TRN_DIR_L	HIR_TRN_DIR_P	HIR_TRN_OLATS	HIR_TRN_OPRES	HIR_NSWT_NO	HIR_NSWT_VAR_FT	HIR_NSWT_VAR_PT	HIR_EDU_NO	HIR_EDU_HS	HIR_EDU_SCOL	HIR_EDU_AD	HIR_EDU_BD	HIR_EDU_OTHR	HIR_EDU_SPEC	HIR_MIL	HIR_BD_VAR	HIR_RTR_DB	HIR_RTR_DC	HIR_RTR_SS	HIR_RTR_OTHR	HIR_RTR_SPEC	HIR_SEP_NMED	HIR_SEP_MED	HIR_SEP_VOL	HIR_SEP_LAYOFF	HIR_SEP_DIS	HIR_SEP_OTHR	HIR_SEP_TTL	HIR_SEPNS_LAYOFF	HIR_SEPNS_OTHR	HIR_SEPNS_TTL	BDGT_MNTH	BDGT_TTL	BDGT_TTL_EST	BDGT_SRC_MNC	BDGT_SRC_CNTY	BDGT_SRC_STATE	BDGT_SRC_FED	BDGT_SRC_CONT	BDGT_SRC_ASST	BDGT_SRC_FEE	BDGT_SRC_OTHR	BDGT_SRC_SPEC	BDGT_RED	BDGT_PCT_SW	BDGT_PCT_NSW	BDGT_FUR	BDGT_FUR2_SW10	BDGT_FUR2_SW11	BDGT_FUR2_SW12	BDGT_FUR2_NSW10	BDGT_FUR2_NSW11	BDGT_FUR2_NSW12	COM_MIS	COM_TRN_REC	COM_TRN_INSRV	COM_SARA	COM_NSARA	COM_COL	COM_PTNR	COM_BT	COM_NBT	COM_SURV	TECH_TYP_GUN	TECH_TYP_LIC	TECH_TYP_SMRT	TECH_TYP_VPUB	TECH_TYP_VVEH	TECH_TYP_VPAT	TECH_TYP_VWPN	TECH_TYP_VOTHR	TECH_EAC_MREC	TECH_EAC_DREC	TECH_EAC_CRIM	TECH_EAC_WARR	TECH_EAC_PROT	TECH_EAC_ADRS	TECH_CIR	TECH_CIR_SPEC	TECH_CRS	TECH_CREC_INC	TECH_CREC_SUM	TECH_CREC_NAR	TECH_CREC_OTHR	TECH_CREC_SPEC	TECH_REC_NAR	TECH_REC_CODE	TECH_REC_STAT	TECH_REC_VIC	TECH_REC_SUS	TECH_REC_LOC	TECH_REC_GEO	TECH_REC_DATE	TECH_WHO_NO	TECH_WHO_STAFF	TECH_WHO_EXTR	TECH_MANY_FTS	TECH_MANY_PTS	TECH_MANY_FTNS	TECH_MANY_PTNS	TECH_OUT_LAW	TECH_OUT_GOV	TECH_OUT_UNIV	TECH_OUT_VEND	TECH_OUT_OTHR	TECH_OUT_OTHR_SPEC	TECH_WEB_NONE	TECH_WEB_JUR	TECH_WEB_BEAT	TECH_WEB_MAP	TECH_WEB_OFFND	TECH_WEB_OTHR	TECH_WEB_SPEC	TECH_PUBL_REP	TECH_PUBL_ASK	TECH_PUBL_FILE	TECH_PUBL_OTHR	TECH_PUBL_SPEC	TECH_REPT	TECH_RECV	TECH_MEDIA_TW	TECH_MEDIA_FB	TECH_MEDIA_BLOG	TECH_MEDIA_YTBE	TECH_MEDIA_MASS	TECH_MEDIA_OTHR	TECH_MEDIA_SPEC	VEH_OPRT_MK	VEH_OPRT_UNMK	VEH_TYP_MTR	VEH_TYP_ATV	VEH_TYP_AIR	VEH_TYP_HCOP	VEH_TYP_BOAT	VEH_TYP_DRONE	VEH_TYP_OTHR	VEH_TYP_SPEC	VEH_WPUR	VEH_WPUR_SPEC	VEH_DOC	VEH_DOC_SPEC	VEH_NPUR	VEH_NPUR_EST	VEH_NPUR_UNK	VEH_REST_NO	VEH_REST_ALN	VEH_REST_VISL	VEH_REST_SEPR	VEH_REST_RADIO	VEH_REST_ARM	VEH_REST_OTHR	VEH_REST_SPEC	VEH_CNTN	SAFE_AUTH_HGN	SAFE_AUTH_RFL	SAFE_AUTH_SGN	SAFE_AUTH_BTN	SAFE_AUTH_IMP	SAFE_AUTH_SOFT	SAFE_AUTH_SPRAY	SAFE_AUTH_CHEM	SAFE_AUTH_TASR	SAFE_AUTH_NECK	SAFE_AUTH_TKDWN	SAFE_AUTH_OHAND	SAFE_AUTH_CHAND	SAFE_AUTH_LEG	SAFE_DOC_DISF	SAFE_DOC_DCHF	SAFE_DOC_BAT	SAFE_DOC_IMP	SAFE_DOC_SOFT	SAFE_DOC_SPRAY	SAFE_DOC_CHEM	SAFE_DOC_DIST	SAFE_DOC_DCHT	SAFE_DOC_NECK	SAFE_DOC_TKDWN	SAFE_DOC_OHAND	SAFE_DOC_CHAND	SAFE_DOC_LEG	SAFE_FINC	SAFE_FINC_SPEC	NO_RECORD_FORCE	SAFE_FRC_INC	SAFE_FRC_OFFC	SAFE_FRC_OTHR	SAFE_FRC_SPEC	SAFE_FTTL	SAFE_FTTL_EST	SAFE_FTTL_UNK	SAFE_SEPR	SAFE_SEPR_EST	SAFE_SEPR_UNK	SAFE_ARMR	SAFE_ARMR_OTHRS	SAFE_RQUR_ACC	SAFE_RQUR_RSK	SAFE_RQUR_ALL	SAFE_RQUR_CSTM	SAFE_RQUR_TRN	SAFE_RQUR_COMP	SAFE_RQUR_BLST	NO_BODY_ARMOR	SAFE_PAY_DPT	SAFE_PAY_IND	SAFE_PAY_GRNT	SAFE_PAY_OTHR	SAFE_PAY_SPEC	ISSU_ADDR_BIAS	ISSU_ADDR_BOMB	ISSU_ADDR_ABSE	ISSU_ADDR_CYBR	ISSU_ADDR_DPV	ISSU_ADDR_TERR	ISSU_ADDR_TRAF	ISSU_ADDR_DUI	ISSU_ADDR_JUV	ISSU_ADDR_GANG	ISSU_ADDR_REEN	ISSU_ADDR_FUG	ISSU_ADDR_VIC	ISSU_ADDR_SWAT	ISSU_SPEC	ISSU_MULTI	ISSU_TASK_SWAT	ISSU_TASK_DRUG	ISSU_TASK_GANG	ISSU_TASK_TRAF	ISSU_TASK_OTHR	ISSU_TASK_SPEC	BASEWT	NRADJUST	FINALWT
AKASP00	AKASP0000	 	3	2	2	AK020-0073	Alaska State Troopers	Anchorage	Alaska	AK	99507	730496	State - SR	301	303	198	0	0	289	0	14	0	257	13	11	15	7	0	0	0	303	252	51	0	0	0	1	0	27	1	57	1	0	0	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	 	99468	99468	71148	71148	61404	61404	1	1	2	1	1	1	1	1	1	Instructor	2	-8	-8	-8	-8	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	 	1	1	2	2	-8	-8	-8	-8	-8	-8	2	20	0	0	0	7	0	27	0	2	2	1	2	2	2	1	2	 	 	2	37	0	2	1	2	2	2	2	 	2	8	1	1	2	2	 	0	0	0	0	0	14	14	0	40	40	7	139072400	2	2	2	1	1	2	1	1	2	 	2	-8	-8	2	-8	-8	-8	-8	-8	-8	3	1	4	2	-8	1	1	1	252	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	4	 	1	1	1	1	2	 	1	1	1	1	1	1	1	1	2	1	2	3	0	0	0	-8	-8	-8	-8	-8	 	2	1	1	2	2	2	 	2	2	2	2	 	2	2	1	1	2	1	2	2	 	300	291	2	1	1	1	1	2	2	 	3	 	3	 	36	2	1	1	-8	-8	-8	-8	-8	-8	 	-8	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	 	2	1	2	2	 	257	2	2	-8	 	 	2	 	1	1	1	1	1	1	1	2	1	2	2	2	 	4	4	1	1	1	1	4	1	4	4	4	1	4	2	6	1	1	1	2	2	1	Terrorism/Homeland Security	1	1	1
AK00113	AK0011300	 	1	2	2	AK050-0075	BETHEL POLICE DEPT	Bethel	Alaska	AK	99559	6371	Local- 10 to 24	104	13	10	0	0	11	0	2	0	9	0	1	1	0	0	2	0	13	10	1	0	0	2	1	0	1	0	2	1	0	0	0	2	1	1	2	1	2	2	2	2	2	1	2	2	1	Animal Control, inebriate patrol	78000	104000	51658	97413	43071	77359	2	2	2	2	2	1	2	2	2	 	1	2	1	1	1	No other law enforcement near Bethel-400 air miles.	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	As Needed	1	2	2	2	-8	-8	-8	-8	-8	-8	2	0	0	0	0	1	0	1	0	2	2	1	1	1	1	2	2	 	 	2	4	0	2	1	2	2	2	2	 	2	0	1	1	2	2	 	0	1	0	0	0	0	1	0	4	4	7	3278838	1	1	2	1	2	1	2	2	2	 	2	-8	-8	2	0	0	0	0	0	0	3	1	1	2	-8	2	2	2	0	1	2	2	1	2	2	1	1	2	2	2	2	2	2	2	4	 	1	1	1	1	1	CAD/RMS System	1	1	1	2	2	1	2	1	2	1	1	3	0	0	0	2	1	2	2	2	 	2	1	2	2	2	2	 	1	1	1	2	 	2	2	2	2	2	2	2	2	 	9	5	2	1	2	2	1	2	1	Snowmobile	3	 	1	 	-9	 	1	1	-8	-8	-8	-8	-8	-8	 	-8	1	1	1	1	1	1	1	3	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	2	1	1	2	 	49	1	2	48	1	2	2	 	1	2	1	2	2	1	1	2	1	2	1	2	 	4	4	4	5	4	5	5	4	4	5	5	4	5	4	0	2	-8	-8	-8	-8	-8	 	6.26	1.138	7.123
AK00146	AK0014600	 	1	2	2	AK060-0076	BRISTOL BAY BOROUGH POLICE DEPT	King Salmon	Alaska	AK	99613	997	Local- 2 to 4	106	5	5	0	0	5	0	0	0	4	0	0	0	0	0	0	1	5	3	0	0	0	2	1	0	0	0	0	0	1	 	0	2	1	1	2	1	2	2	1	2	2	1	2	1	2	 	68208	102480	 	 	53456	79789	2	2	2	2	2	1	2	1	2	 	1	1	2	2	2	 	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	 	2	1	3	2	-8	-8	-8	-8	-8	-8	2	0	0	0	0	0	1	0	1	1	2	1	1	1	2	2	1	 	 	2	1	1	2	1	2	2	2	2	 	2	0	1	1	2	2	 	0	0	0	0	0	0	0	0	2	2	7	1000000	1	1	2	1	1	2	2	1	2	 	2	-8	-8	2	0	0	0	0	0	0	1	-8	4	2	-8	2	2	1	1	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	1	 	1	1	1	2	2	 	1	1	2	2	1	1	2	1	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	 	2	2	2	2	2	2	 	2	2	2	2	 	2	2	2	1	1	2	1	2	 	6	0	2	1	2	2	2	2	2	 	3	 	4	 	0	2	2	1	-8	-8	-8	-8	-8	-8	 	-8	1	1	1	1	3	3	1	3	1	3	1	1	1	1	2	1	1	1	-8	1	-8	2	1	1	2	2	1	1	1	 	2	1	1	2	 	2	1	2	2	1	2	2	 	1	1	1	2	2	2	1	2	1	2	1	2	 	4	5	4	4	4	4	5	4	4	5	5	4	4	5	0	2	-8	-8	-8	-8	-8	 	14.611	1.139	16.646
AK00114	AK0011400	 	1	2	2	AK261-0078	CORDOVA POLICE DEPT	Cordova	Alaska	AK	99574	2267	Local- 5 to 9	105	6	6	0	0	6	0	0	0	5	0	1	0	0	0	0	0	6	6	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	2	2	2	2	2	2	2	2	1	2	2	2	 	70342	70342	 	 	44574	53934	2	2	2	2	2	1	2	2	2	 	1	1	2	2	2	 	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	2	1	1	2	-8	-8	-8	-8	-8	-8	2	0	0	0	0	3	0	3	0	2	2	1	2	1	2	1	2	 	 	2	3	0	2	1	2	2	2	2	 	2	2	1	2	1	2	 	0	0	2	0	0	0	2	0	3	3	10	531000	1	1	2	1	2	2	2	2	2	 	2	-8	-8	2	0	0	0	0	0	0	1	4	4	2	-8	2	1	2	0	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	 	1	1	1	1	2	 	1	1	1	1	1	1	2	1	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	 	1	-8	-8	-8	-8	-8	 	-8	-8	-8	-8	 	2	2	2	1	2	2	2	2	 	3	2	2	2	2	2	2	2	2	 	1	 	1	 	0	2	2	1	-8	-8	-8	-8	-8	-8	 	-8	1	1	1	1	3	3	1	3	1	3	3	3	3	3	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	3	 	1	-8	-8	-8	 	-8	 	 	-8	 	 	1	 	-8	-8	-8	-8	-8	-8	-8	2	1	2	1	2	 	5	5	4	5	4	5	5	4	4	5	5	4	4	5	0	2	-8	-8	-8	-8	-8	 	7.288	1.19	8.675
AK00132	AK0013200	 	1	2	2	AK090-0077	NORTH POLE POLICE DEPT	North Pole	Alaska	AK	99705	2210	Local- 10 to 24	104	14	1	0	0	11	0	3	0	12	0	0	1	0	0	1	0	14	12	2	0	0	0	1	0	1	0	3	0	 	 	0	2	1	2	2	2	1	1	2	1	2	1	2	2	2	 	50952	91800	41532	76752	43476	43476	1	1	2	2	2	1	2	2	2	 	1	1	2	2	2	 	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	2	1	3	2	2	0	0	0	2	2	0	0	0	0	0	2	0	2	2	2	2	2	2	1	2	 	 	1	0	0	2	1	2	2	2	2	 	2	1	2	1	2	1	 	0	0	3	0	0	0	3	0	0	0	1	1500000	1	1	2	1	1	1	1	2	2	 	2	-8	-8	2	0	0	0	0	0	0	3	1	4	2	-8	2	2	2	0	2	2	2	1	2	1	1	2	1	1	1	1	1	1	1	4	 	1	1	1	1	2	 	1	1	1	1	1	1	1	1	2	1	2	1	0	1	0	-8	-8	-8	-8	-8	 	2	2	2	2	2	2	 	2	1	1	2	 	1	1	2	1	2	2	1	2	 	10	4	2	1	2	2	2	2	2	 	3	 	4	 	5	1	2	1	-8	-8	-8	-8	-8	-8	 	-8	1	1	1	1	1	3	1	3	1	3	1	1	1	1	1	1	1	1	-8	1	-8	1	1	-8	1	1	1	1	2	 	2	1	1	2	 	5	1	2	0	1	2	2	 	1	1	1	2	1	1	1	2	1	2	1	2	 	4	5	4	2	4	4	5	3	4	4	4	4	4	4	2	1	2	1	2	2	2	 	6.26	1.138	7.123
AK00158	 	 	1	2	2	AK270-0079	ST. MARY'S POLICE DEPT	St. Mary's	Alaska	AK	99658	531	Local- 2 to 4	106	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0	0	0	0	0	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	 	 	 	36400	36400	29640	29640	2	2	2	2	2	2	2	2	2	 	 	 	 	 	 	 	2	-8	2	2	2	2	2	1	2	1	1	1	1	2	1	1	2	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	2	1	2	2	2	2	 	-8	0	2	2	2	2	 	0	0	0	0	0	0	0	0	0	0	 	127880	1	 	 	 	 	 	 	 	 	 	2	-8	-8	 	 	 	 	 	 	 	1	4	4	2	-8	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	 	2	2	2	2	2	 	-8	-8	-8	-8	-8	-8	-8	-8	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	 	1	-8	-8	-8	-8	-8	 	-8	-8	-8	-8	 	1	2	2	2	2	2	2	2	 	2	0	2	1	2	2	2	2	2	 	1	 	1	 	0	2	1	1	-8	-8	-8	-8	-8	-8	 	-8	3	3	3	1	3	3	1	3	3	3	1	1	3	3	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	3	 	1	-8	-8	-8	 	-8	 	 	-8	 	 	1	 	-8	-8	-8	-8	-8	-8	-8	1	-8	-8	-8	-8	 	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	2	-8	-8	-8	-8	-8	 	14.611	1.139	16.646
AK00111	AK0011100	 	1	2	2	AK280-0080	WRANGELL POLICE DEPT	Wrangell	Alaska	AK	99929	2403	Local- 5 to 9	105	7	8	0	0	7	0	0	0	5	0	1	1	0	0	0	0	7	5	2	0	0	0	1	0	1	0	1	0	 	 	 	2	1	1	2	1	2	1	2	2	2	1	2	1	2	 	 	 	 	 	 	 	1	1	1	2	2	1	2	2	2	 	1	2	2	1	2	 	2	-8	2	1	1	1	2	1	1	1	1	1	1	2	1	2	2	 	2	2	2	2	-8	-8	-8	-8	-8	-8	1	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	 	 	2	1	0	2	1	2	2	2	2	 	1	0	1	2	2	2	 	0	0	0	0	0	0	0	0	0	0	7	 	 	 	 	 	 	 	 	 	 	 	2	-8	-8	2	0	0	0	0	0	0	3	4	4	2	-8	1	1	2	0	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	 	1	1	1	1	2	 	1	2	1	2	2	1	2	1	2	1	2	0	0	1	0	-8	-8	-8	-8	-8	 	1	-8	-8	-8	-8	-8	 	-8	-8	-8	-8	 	2	2	2	2	2	2	2	2	 	5	2	2	1	2	2	1	2	2	 	2	 	1	 	0	2	2	1	-8	-8	-8	-8	-8	-8	 	-8	1	1	1	1	3	3	1	3	1	3	1	1	3	1	2	1	1	1	-8	1	-8	2	1	-8	1	1	-8	2	2	 	1	-8	-8	-8	 	-8	 	 	-8	 	 	4	 	1	1	2	1	1	1	1	2	2	1	1	2	 	5	5	4	4	4	4	5	4	4	5	5	4	4	4	 	2	-8	-8	-8	-8	-8	 	7.288	1.19	8.675
ALAST00	ALAST0000	 	3	2	2	AL101-0052	Alabama Department of Public Safety	Montgomery	Alabama	AL	36102	4824222	State - SR	301	668	537	0	0	654	0	14	0	515	146	3	3	1	0	0	0	668	363	34	0	0	45	1	0	53	3	166	3	0	0	40	2	1	1	1	1	2	1	1	1	1	1	2	2	2	 	69098	105403	41258	76349	29225	47758	1	2	2	1	1	2	2	2	2	 	1	2	1	1	2	 	1	3	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	 	1	1	1	1	12	12	12	12	12	12	2	0	0	0	0	4	0	4	0	2	2	1	2	1	1	2	1	 	 	2	26	0	2	1	2	2	2	2	 	2	3	1	1	2	2	 	15	0	6	0	0	0	21	0	46	46	10	103106105	2	2	2	1	1	2	1	1	2	 	2	-8	-8	2	-8	-8	-8	-8	-8	-8	3	1	4	2	-8	2	2	1	419	2	2	2	2	2	1	2	1	2	1	1	1	1	1	2	4	 	1	1	1	1	2	 	1	1	1	1	1	1	1	1	2	1	1	0	0	20	0	1	1	1	2	2	 	2	2	2	2	2	2	 	2	1	2	2	 	1	1	2	2	2	2	1	2	 	553	553	1	1	1	1	2	2	2	 	3	 	2	 	150	1	2	1	-8	-8	-8	-8	-8	-8	 	-8	1	1	1	1	3	2	1	3	1	1	1	1	1	3	2	1	1	-8	1	1	-8	2	1	1	1	1	1	-8	1	 	2	1	2	2	 	41	2	2	-8	 	 	2	 	1	1	1	1	1	2	1	2	1	2	1	2	 	5	1	1	1	5	3	5	1	5	5	5	5	5	2	5	1	1	1	2	2	2	 	1	1	1
AL05001	AL0500100	 	1	2	2	AL095-0043	ALBERTVILLE POLICE DEPT	Albertville	Alabama	AL	35950	21516	Local- 25 to 49	103	45	23	2	0	45	2	0	0	45	0	0	0	0	0	0	0	45	28	8	1	0	8	1	0	8	0	4	0	0	0	0	2	1	2	2	2	2	2	2	2	2	1	2	1	2	 	51000	51000	 	 	 	 	1	2	2	1	2	2	2	2	2	 	1	1	2	2	2	 	2	-8	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	 	1	2	1	2	-8	-8	-8	-8	-8	-8	2	1	0	0	0	2	0	3	0	2	2	1	2	2	2	2	2	 	 	2	4	0	2	1	2	2	2	2	 	2	0	1	2	1	1	 	1	0	0	0	0	0	1	0	0	0	10	3952576	1	1	2	1	1	2	2	1	2	 	2	-8	-8	2	0	0	0	0	0	0	3	-8	1	2	-8	2	2	1	28	2	2	2	1	1	1	1	2	2	1	1	1	1	2	1	4	 	1	1	2	1	2	 	1	1	1	1	1	1	1	1	2	1	2	 	2	 	0	-8	-8	-8	-8	-8	 	2	2	2	2	2	2	 	1	2	2	2	 	1	1	2	1	2	2	2	2	 	52	14	2	2	2	2	2	2	2	 	3	 	3	 	-9	 	1	1	-8	-8	-8	-8	-8	-8	 	-8	1	1	1	1	3	3	1	3	1	3	1	1	3	3	-8	1	1	-8	-8	1	-8	-8	-8	-8	1	1	-8	-8	 	 	2	1	1	2	 	-9	 	1	-9	 	1	2	 	1	1	2	1	1	1	1	2	1	2	1	2	 	5	5	5	5	5	5	5	1	5	5	5	1	5	4	3	1	1	1	2	2	2	 	4.225	1.123	4.745
AL06201	AL0620100	 	1	2	2	AL123-0064	ALEXANDER CITY POLICE DEPT	Alexander City	Alabama	AL	35010	14728	Local- 25 to 49	103	49	18	0	0	46	0	3	0	41	8	0	0	0	0	0	0	49	28	11	0	0	10	1	0	8	0	12	1	0	0	0	2	1	1	2	2	2	1	2	2	2	1	2	1	2	 	52047	84248	33599	54387	28833	45845	1	1	1	1	1	2	2	2	2	 	1	1	2	2	2	 	2	-8	2	2	2	2	2	1	2	1	1	1	1	2	1	2	1	Trainings	2	1	1	2	-8	-8	-8	-8	-8	-8	2	1	0	0	0	0	0	1	0	2	2	2	2	2	2	1	1	 	 	1	0	0	2	1	2	2	2	2	 	-8	0	1	2	2	2	 	0	0	0	0	0	0	0	0	0	0	10	4500000	2	1	2	2	2	2	2	2	2	 	2	-8	-8	2	0	0	0	0	0	0	3	2	1	2	-8	1	2	2	0	1	2	2	2	2	1	1	2	2	1	1	1	1	2	2	4	 	1	1	1	1	2	 	1	1	1	1	1	1	1	1	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	 	2	2	2	2	1	1	property crimes	2	2	2	2	 	1	2	2	2	2	2	1	2	 	11	12	2	1	2	2	2	2	2	 	3	 	2	 	3	2	2	1	-8	-8	-8	-8	-8	-8	 	-8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	 	2	1	1	2	 	52	2	2	52	2	2	2	 	1	1	1	1	1	1	1	2	1	2	2	2	 	1	3	2	5	3	3	3	1	3	1	3	2	2	2	3	1	1	1	1	2	2	 	4.225	1.123	4.745
