state,year,population,firearm_homicide_rate,firearm_suicide_rate,permit_rate,background_check_total,civ_non_institution_pop_rate,labor_force_population_percentage,police_rate,state_imprisonment_rate,alc_per_capita,poverty_rate,cocaine_death_rate,gender_ratio,ages_5_9_pop_percent,ages_10_14_pop_percent,ages_15_19_pop_percent,ages_20_24_pop_percent,ages_25_29_pop_percent,ages_30_34_pop_percent,ages_35_45_pop_percent,ages_45_54_pop_percent,ages_55_59_pop_percent,ages_60_64_pop_percent,ages_65_74_pop_percent,ages_75_84_pop_percent,ages_85_plus_pop_percent,white_nonhispanic_pop_percent,black_nonhispanic_pop_percent,indigenious_nonhispanic_pop_percent,asian_pacific_nonhispanic_pop_perent,white_hispanic_pop_percent,black_hispanic_pop_percent,indigenious_hispanic_pop_percent,asian_pacific_hispanic_pop_percent,black_urban_youth_pop_percent,hispanic_urban_youth_pop_percent,military_veteran_pop_percent,foreign_born_pop_percent,urban_household_pop_percent,single_parent_pop_percent,biracial_nonhispanic_pop_percent,biracial_hispanic_pop_percent,bachelor_degree_pop_percent,high_school_degree_pop_percent,no_highschool_degree_pop_percent,some_college_pop_percent,cpi,income,income_2000,poc_type,denied_adjudicated_mh,denied_alien,denied_crime,denied_dishonorable_discharge,denied_dv_misdemeanor,denied_dv_restraining,denied_fed_denied_person_file,denied_fugitive,denied_renounced_citizen,denied_state_prohibitor,denied_substance_use,denied_under_indictment,reported_adjudicated_mh,denied_total
Alabama,2000,4447100,14.56,17.32,0.002698388,49.90015965,7.596845135,0.631,2.315666389,1.46,1.88,13.3,NA,93.30244927,0.070910256,0.072013672,0.07298689,0.069003395,0.067728632,0.067868723,0.154148097,0.134966383,0.050695959,0.042742911,0.071225743,0.044017225,0.015133683,0.703939124,0.258978051,0.004899929,0.734483463,0.014615465,0.00163226,0.000264436,0.000227559,0.102945339,0.003972867,0.087965922,0.019870095,0.688947425,0.212627506,0.007788934,0.000309408,0.167965667,0.313454146,0.27292652,0.245653667,1.722,24649.24506,24372,Non-POC,37,14,2908,4,412,10,9,80,0,11,111,0,NA,3596
Alaska,2000,626932,6.04,3.45,0,63.73737503,6.95628872,0.733,1.847090275,3.93,2.68,7.6,NA,107.0308862,0.085768472,0.090378223,0.079903403,0.063630505,0.068567245,0.074148392,0.181916061,0.151455022,0.043741586,0.027637766,0.035900225,0.016840742,0.004201413,0.680083837,0.033966947,0.154547615,4.529670635,0.03200342,0.002574438,0.002954064,0.001151638,0.014308564,0.010944363,0.108589962,0.061503416,0.446200677,0.178704591,0.044869228,0.002552107,0.221960184,0.297313804,0.185544863,0.295181149,1.722,31480.83624,31881,Non-POC,12,2,608,1,329,24,0,23,0,1,24,0,NA,1024
Arizona,2000,5130632,12.59,17.16,2.027235631,28.8976095,7.502401264,0.652,2.03776065,1.88,2.5,11.7,2.455837799,99.66851951,0.075988494,0.07371626,0.071671872,0.07072423,0.072916163,0.07183501,0.149845867,0.122383363,0.04651961,0.039702126,0.070915435,0.045895515,0.013356054,0.641620764,0.029651399,0.046012599,1.894041359,0.239066462,0.003281129,0.005942404,0.001765997,0.007364537,0.136519774,0.101994405,0.143204993,0.85024993,0.209464961,0.011230259,0.002488574,0.207648654,0.290348567,0.214944446,0.287058332,1.722,26552.84553,26151,Non-POC,12,6,1142,0,0,15,0,20,0,0,0,0,NA,1195
Arkansas,2000,2673400,12.42,16.05,2.524500636,63.45028802,7.578529214,0.621,2.084611356,2.62,1.74,16.5,NA,95.32377596,0.070032169,0.0721684,0.074349143,0.067927732,0.066085883,0.065897733,0.148921598,0.130739508,0.05214072,0.043910376,0.074187925,0.048325353,0.017390589,0.786659749,0.156081657,0.006300843,0.819476204,0.029972397,0.001220966,0.000512477,0.000319456,0.045707973,0.011791621,0.096862483,0.0238739,0.50655725,0.204105653,0.010270479,0.000467214,0.153355262,0.391117603,0.236872142,0.218654993,1.722,22803.13589,22824,Non-POC,17,13,2219,0,500,14,0,132,0,13,147,0,NA,3055
California,2000,33871648,10.52,6.23,4.81656517,23.45637272,7.4151178,0.672,2.157999516,3.83,2.24,12.7,0.879791854,99.2827876,0.080476746,0.075898935,0.072358097,0.070303281,0.075093512,0.079285218,0.16194491,0.127883798,0.043317999,0.033858435,0.055734607,0.037854019,0.012566764,0.474094341,0.065278775,0.005424064,11.28901799,0.304293888,0.005019891,0.00647881,0.003858241,0.023203153,0.154809568,0.068837852,0.265927817,0.983995038,0.157565265,0.018544947,0.004116864,0.229946487,0.236404357,0.243635009,0.290014147,1.722,33390.82462,33403,POC,1,0,226,0,0,0,0,0,0,0,0,0,NA,227
Colorado,2000,4301261,3.81,13.5,0,71.49345273,7.590034643,0.723,2.479040449,1.7,2.6,9.8,1.952915668,101.4371896,0.071706414,0.072419925,0.07142975,0.071197261,0.077139006,0.077240605,0.17130395,0.142777897,0.04527091,0.033614561,0.052614803,0.032908256,0.011209736,0.747992253,0.037357459,0.006882708,2.305346755,0.159466361,0.002954613,0.004642167,0.001186401,0.019707023,0.060293224,0.096291487,0.106105383,0.868856676,0.109987358,0.013697541,0.00276703,0.298058499,0.254056013,0.165840257,0.282045231,1.722,34234.0302,34027,POC,3,4,4109,0,0,1,0,2,1,0,0,0,NA,4120
Connecticut,2000,3405565,3.17,5.41,25.70527945,25.71849311,7.619314269,0.68,2.286845208,1.88,2.18,7.7,1.145184426,93.91148733,0.07168972,0.07093889,0.063609709,0.055077792,0.059158172,0.073460057,0.170617504,0.141182741,0.051962303,0.038657903,0.067996059,0.051194148,0.018872933,0.779769794,0.089126011,0.002188716,2.506481876,0.081475783,0.00905877,0.00097074,0.000799554,0.058133149,0.032258093,0.085083047,0.102703047,0.950326647,0.152762653,0.009788733,0.00175708,0.285775645,0.310601108,0.169846896,0.233776351,1.722,42209.05923,43091,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
Delaware,2000,783600,17.17,6.8,0,19.58524758,7.619729454,0.693,3.380551302,3.51,2.89,8.4,NA,94.41511138,0.071226391,0.07053854,0.070995406,0.065932874,0.065363706,0.073533691,0.162839459,0.1327195,0.050178663,0.041091118,0.07199464,0.044361919,0.013462226,0.726800407,0.190826728,0.003031042,2.129003687,0.0402433,0.005181486,0.000783604,0.000410945,0.091229145,0.020280784,0.093576417,0.061962097,0.814849539,0.236743569,0.010472728,0.000959724,0.211068735,0.327227605,0.197856556,0.263847104,1.722,32109.17538,33862,Non-POC,0,0,186,0,49,3,0,4,0,0,6,0,NA,248
Florida,2000,15982378,7.11,11.82,0,16.64552046,7.814406592,0.629,2.583032387,2.23,2.56,11,1.21383689,95.27287193,0.064553473,0.066136841,0.063449069,0.058083347,0.062278467,0.068121402,0.1554992,0.129485049,0.051401425,0.046144322,0.090861072,0.06407895,0.020728267,0.657605651,0.145450128,0.002714269,1.740452146,0.158083828,0.006531678,0.001002342,0.000730358,0.064353922,0.075881642,0.107608943,0.207764538,0.948073767,0.184779453,0.008963076,0.001514149,0.19931373,0.328676636,0.212968604,0.25904103,1.722,29596.98026,29355,POC,3,5,375,0,80,39,1,21,0,3,34,0,NA,561
Georgia,2000,8186453,12.71,11.25,4.763235067,43.04147352,7.444504964,0.693,3.032815311,2.11,2.16,12.1,1.099377227,96.82084913,0.075195448,0.0742396,0.072837039,0.072338533,0.078391704,0.080316347,0.165335097,0.13192429,0.045886906,0.034911945,0.053221462,0.031970256,0.010731998,0.628444494,0.286072587,0.002210305,2.186607885,0.047684933,0.003524029,0.000722884,0.000571906,0.105239073,0.009282205,0.088833578,0.051592699,0.713285875,0.23302003,0.00824354,0.000659244,0.198962338,0.314222592,0.237317108,0.249497962,1.722,28692.79907,28783,Non-POC,3,1,1969,0,0,0,0,0,0,0,0,0,NA,1973
