Quarter,gsl,entities,sumlevel,program_label,program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size
31-Dec-20,ZIPCODE,90001,10,Housing Choice Vouchers,3,90001,90001,644,89,554,97,5,7,2.7,1522,537,1146,19194,6987,11,11,33,8,37,28,22,49,19,96,83,7,36,78,38,30,73,20,4,51,25,20,1,99,75,0,0,1,2,21,1,23,1,29,139,96,107,30,36,34,19,30,99,55,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90002,10,Housing Choice Vouchers,3,90002,90002,1164,87,964,95,5,4,2.9,2813,530,1145,19646,6733,5,10,36,12,37,28,21,50,19,97,83,6,45,83,47,28,85,19,1,51,28,20,2,98,74,0,1,2,1,21,0,23,0,47,140,99,115,19,40,41,21,31,99,61,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90003,10,Housing Choice Vouchers,3,90003,90003,2656,86,2177,95,5,4,2.7,5978,540,1145,19633,7150,7,10,34,13,35,26,20,53,20,96,82,4,43,81,44,31,82,20,1,53,26,19,1,98,83,0,0,2,1,13,1,15,0,22,157,100,110,21,40,39,25,32,99,52,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90004,10,Housing Choice Vouchers,3,90004,90004,602,87,497,95,5,8,1.6,771,400,1145,15070,9714,11,7,53,12,18,13,15,70,17,98,89,3,13,53,13,67,80,54,2,27,27,45,2,78,29,0,8,22,1,38,0,40,0,13,128,92,45,76,18,6,8,22,90,11,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90005,10,Housing Choice Vouchers,3,90005,90005,279,86,229,95,6,7,1.7,394,415,1145,15837,9205,10,7,49,11,22,16,13,70,18,97,88,3,13,52,14,58,85,46,-1,31,24,46,6,84,35,0,21,16,1,26,-1,27,1,15,127,98,39,73,16,11,7,28,95,4,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90006,10,Housing Choice Vouchers,3,90006,90006,445,86,365,95,6,8,1.8,644,419,1145,16524,9366,8,10,44,14,24,19,13,65,19,96,86,4,18,59,18,40,79,37,2,29,22,47,5,89,36,0,19,11,1,32,1,34,0,22,124,100,59,53,39,8,18,28,97,10,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90007,10,Housing Choice Vouchers,3,90007,90007,435,86,357,95,6,4,1.7,623,446,1145,17911,10264,9,7,46,13,26,22,10,64,20,96,83,2,17,69,17,31,72,34,1,29,21,48,9,94,61,1,11,6,1,22,-1,23,0,7,163,100,75,55,29,16,16,38,91,24,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90008,10,Housing Choice Vouchers,3,90008,90008,2467,86,2026,95,6,3,1.6,3194,415,1145,16408,10408,7,9,47,11,26,18,12,68,19,96,85,1,18,67,18,42,80,41,1,30,28,42,3,97,91,0,0,3,1,4,0,5,0,34,168,100,80,57,36,6,18,28,99,13,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90010,10,Housing Choice Vouchers,3,90010,90010,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90011,10,Housing Choice Vouchers,3,90011,90011,1251,86,1025,95,5,5,2.8,2849,555,1144,19906,7162,6,11,34,11,38,27,20,50,20,96,82,7,39,76,40,30,80,21,2,51,24,23,1,97,63,0,0,3,1,32,1,33,0,32,154,100,109,26,38,36,20,34,99,47,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90012,10,Housing Choice Vouchers,3,90012,90012,334,86,274,95,5,6,1.7,457,518,1145,17524,10506,3,4,50,18,25,19,5,76,20,96,88,4,8,62,10,36,86,51,-1,17,15,68,22,88,21,0,47,12,0,19,1,20,0,19,152,99,57,53,38,9,16,32,92,5,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90013,10,Housing Choice Vouchers,3,90013,90013,1038,86,850,95,5,7,1.0,861,237,1144,9830,9704,32,3,54,5,6,6,30,62,13,100,96,-1,1,35,0,78,82,79,0,32,39,29,0,83,60,1,2,17,1,18,1,20,0,17,61,99,6,100,0,-1,0,47,70,1,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90014,10,Housing Choice Vouchers,3,90014,90014,773,86,633,95,7,7,1.0,638,257,1144,10771,10686,23,6,60,6,6,8,21,69,14,99,96,-1,0,38,0,52,77,64,1,20,29,50,0,83,46,1,4,17,1,30,1,32,0,3,74,100,6,100,0,-1,-1,41,69,2,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90015,10,Housing Choice Vouchers,3,90015,90015,167,86,137,95,3,4,1.4,194,361,1144,14444,10200,16,5,51,14,14,10,20,69,17,96,92,2,7,43,9,74,91,62,-1,37,29,34,2,87,48,1,6,13,1,30,-1,31,0,24,101,100,36,79,12,9,4,38,91,4,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90016,10,Housing Choice Vouchers,3,90016,90016,1479,87,1225,95,6,3,1.7,2127,460,1145,17447,10048,7,9,45,12,27,21,11,67,20,96,83,2,20,71,20,39,74,35,1,31,28,40,3,96,79,0,2,4,1,12,0,14,0,28,180,100,84,44,47,9,21,23,96,35,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90017,10,Housing Choice Vouchers,3,90017,90017,313,86,257,95,5,12,1.5,394,407,1145,14878,9705,9,5,57,12,18,11,12,74,17,98,89,3,9,56,12,49,85,52,2,19,20,59,11,89,31,0,22,11,0,34,1,35,0,30,121,99,48,81,8,12,4,44,94,1,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90018,10,Housing Choice Vouchers,3,90018,90018,1757,86,1441,95,5,2,1.7,2443,431,1145,17019,10039,6,8,46,13,26,20,9,69,19,96,85,2,18,66,18,38,81,40,0,29,26,45,5,96,73,0,9,4,1,13,0,14,0,22,162,87,86,56,33,11,17,25,95,30,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90019,10,Housing Choice Vouchers,3,90019,90019,1252,86,1027,95,5,3,1.6,1665,442,1145,17100,10548,8,8,46,13,26,20,9,70,20,96,85,2,14,67,15,40,80,41,0,27,28,45,3,92,69,0,6,8,1,16,0,17,0,37,173,100,71,57,35,8,15,19,91,20,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90020,10,Housing Choice Vouchers,3,90020,90020,156,86,128,95,6,9,1.4,180,402,1144,16196,11517,9,6,50,12,23,18,7,73,19,96,85,3,5,45,5,45,76,46,-1,26,27,48,5,77,38,-1,15,23,-1,24,-1,24,0,21,147,98,46,84,12,4,5,18,92,1,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90021,10,Housing Choice Vouchers,3,90021,90021,84,86,69,95,7,6,1.2,80,234,1144,8764,7559,34,10,46,4,4,7,38,52,11,100,100,-1,6,28,4,39,77,50,-1,26,29,45,-1,78,62,1,-1,22,3,10,1,14,0,-1,58,96,11,93,4,3,1,69,84,6,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90022,10,Housing Choice Vouchers,3,90022,90022,374,92,340,99,5,3,2.3,782,487,1147,18710,8135,7,10,38,11,33,26,11,62,20,97,81,4,28,77,29,30,57,23,0,36,21,42,5,93,8,1,1,7,0,82,1,83,0,17,149,97,73,41,44,15,14,23,98,61,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90023,10,Housing Choice Vouchers,3,90023,90023,347,88,293,96,5,6,2.1,626,483,1145,18359,8593,7,6,43,14,31,24,11,63,20,97,84,4,24,65,26,32,71,28,2,32,22,44,4,90,17,1,1,10,1,70,1,72,0,53,127,99,82,51,31,17,13,26,98,52,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90024,10,Housing Choice Vouchers,3,90024,90024,7,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90025,10,Housing Choice Vouchers,3,90025,90025,26,86,21,95,6,10,1.7,35,507,1144,17241,10344,5,5,38,29,24,19,-1,81,20,100,81,-1,5,52,5,29,93,60,-1,10,24,67,29,38,10,-1,10,62,-1,19,-1,19,0,22,196,100,71,38,52,10,24,14,45,6,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90026,10,Housing Choice Vouchers,3,90026,90026,474,86,389,95,6,2,2.0,761,472,1145,17204,8794,12,7,44,11,26,24,16,59,19,94,84,4,19,65,21,46,83,36,1,31,27,41,4,86,23,0,8,14,1,52,1,54,0,62,142,99,68,55,26,19,14,25,88,18,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90027,10,Housing Choice Vouchers,3,90027,90027,1451,86,1189,95,5,1,1.5,1806,400,1144,15283,10061,3,3,57,24,13,12,3,84,18,99,94,2,2,68,3,42,95,72,0,6,14,80,14,13,5,1,1,87,0,6,0,7,0,22,200,100,64,62,32,6,15,22,47,9,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90028,10,Housing Choice Vouchers,3,90028,90028,688,86,564,95,5,3,1.5,828,383,1144,14868,10128,4,6,57,21,13,11,8,80,18,99,93,2,5,58,6,56,87,61,1,17,16,66,9,39,15,1,4,61,1,18,0,19,0,30,150,100,53,74,24,2,6,25,54,5,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90029,10,Housing Choice Vouchers,3,90029,90029,856,86,702,95,6,3,1.5,1059,416,1145,16056,10643,5,4,55,18,19,15,4,80,19,98,88,2,4,56,5,44,94,62,1,14,23,62,7,39,13,0,2,61,0,22,1,23,0,16,175,100,67,66,29,5,13,23,76,13,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90031,10,Housing Choice Vouchers,3,90031,90031,327,87,270,95,6,7,2.1,562,485,1145,18516,8896,6,8,40,13,33,25,10,62,20,94,83,3,20,63,21,24,73,30,3,27,24,46,6,91,18,1,23,9,1,48,1,49,0,15,143,92,86,41,35,24,21,21,95,40,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90032,10,Housing Choice Vouchers,3,90032,90032,436,86,358,95,5,4,2.3,827,534,1145,20289,8783,5,6,40,10,39,28,9,61,21,96,79,4,29,74,30,29,81,26,1,34,27,37,3,90,15,1,5,10,1,68,0,70,0,24,169,99,90,35,41,24,19,20,96,62,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90033,10,Housing Choice Vouchers,3,90033,90033,524,86,430,95,5,7,2.2,936,481,1145,18373,8440,8,8,40,13,31,27,13,59,20,97,83,7,24,70,27,32,78,28,3,33,27,37,3,92,9,0,2,8,1,79,1,81,0,26,150,99,89,39,43,18,17,33,98,34,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90034,10,Housing Choice Vouchers,3,90034,90034,179,85,144,95,6,1,1.8,259,515,1146,19817,11018,6,7,34,9,44,31,6,62,22,94,80,2,20,75,19,31,79,33,1,27,28,44,4,81,63,1,1,19,1,14,1,16,0,104,218,99,69,35,42,22,28,12,78,21,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90035,10,Housing Choice Vouchers,3,90035,90035,114,86,93,95,6,1,1.6,147,368,1144,15227,9634,8,10,52,7,24,14,5,80,18,98,89,2,13,73,12,43,86,47,2,13,30,55,9,66,52,-1,1,34,1,11,1,13,0,19,202,100,61,59,34,6,19,15,43,23,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90036,10,Housing Choice Vouchers,3,90036,90036,21,86,17,95,5,12,1.0,17,423,1144,13846,13846,6,-1,76,6,12,-1,6,94,18,94,94,-1,-1,82,-1,33,93,82,-1,12,6,82,41,29,29,-1,-1,71,-1,-1,-1,0,0,29,237,100,78,76,24,-1,24,11,40,6,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90037,10,Housing Choice Vouchers,3,90037,90037,1746,86,1432,95,6,4,2.2,3135,473,1145,18061,8250,9,11,39,11,31,25,17,57,19,96,83,3,31,72,31,34,79,27,2,44,28,27,2,97,77,0,1,3,1,17,0,19,0,20,155,100,98,43,33,24,17,33,99,38,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90038,10,Housing Choice Vouchers,3,90038,90038,504,87,415,95,6,5,1.5,609,424,1145,15611,10638,9,5,51,14,21,14,8,76,18,97,89,2,7,57,7,60,89,60,2,18,25,55,7,47,18,-1,1,53,0,28,-1,28,0,19,171,100,60,66,30,4,12,25,72,8,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90039,10,Housing Choice Vouchers,3,90039,90039,64,86,52,95,5,-1,1.6,81,489,1144,18656,11977,4,-1,48,15,33,15,6,79,22,96,85,2,10,73,12,47,85,54,-1,10,27,63,12,48,12,2,-1,52,-1,31,4,35,0,-1,207,98,78,46,48,6,29,12,73,50,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90040,10,Housing Choice Vouchers,3,90040,90040,95,91,86,99,5,1,2.1,179,538,1147,19812,9519,8,5,48,10,29,22,12,66,21,93,78,7,19,62,20,33,63,29,-1,33,14,53,3,93,10,1,3,7,-1,76,2,78,2,-1,131,100,75,51,34,15,8,17,97,71,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90041,10,Housing Choice Vouchers,3,90041,90041,385,86,315,95,5,4,1.3,423,390,1144,15308,11399,1,4,57,22,15,6,2,92,18,98,94,1,2,70,2,44,84,70,-1,3,10,88,14,55,8,0,10,45,0,36,-1,36,0,12,126,100,58,85,13,2,7,10,70,67,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90042,10,Housing Choice Vouchers,3,90042,90042,318,86,261,95,6,2,2.1,560,466,1145,17651,8227,7,7,44,12,29,25,12,61,19,97,87,3,27,77,27,32,84,30,-1,31,29,39,3,88,18,-1,4,12,1,64,0,66,0,33,180,100,85,38,52,11,20,20,89,42,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90043,10,Housing Choice Vouchers,3,90043,90043,2462,86,2026,95,6,5,1.8,3643,441,1145,17006,9457,9,10,44,10,27,21,15,62,19,96,84,1,24,68,23,37,79,33,1,36,28,35,1,97,89,0,0,3,2,5,0,7,0,11,154,100,87,52,36,13,17,28,98,41,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90044,10,Housing Choice Vouchers,3,90044,90044,4525,88,3853,97,5,4,2.1,8261,474,1145,17777,8291,9,9,40,12,31,23,17,58,19,96,84,3,33,75,33,34,80,27,1,44,28,27,2,98,87,0,1,2,1,8,0,10,0,32,149,99,92,37,43,20,22,33,99,42,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90045,10,Housing Choice Vouchers,3,90045,90045,70,86,57,95,6,4,1.8,102,476,1144,18585,10386,9,13,28,17,33,26,11,58,21,89,79,4,21,72,19,19,80,30,-1,33,23,44,2,95,81,2,2,5,2,9,-1,11,0,79,177,100,87,42,54,4,16,15,77,9,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90046,10,Housing Choice Vouchers,3,90046,90046,1033,90,914,98,5,1,1.3,1231,355,1146,14216,10555,1,2,66,21,10,4,1,95,17,100,96,-1,1,64,1,66,83,72,0,6,9,85,30,13,6,0,0,87,0,6,0,7,0,37,204,98,56,78,21,2,8,16,23,10,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90047,10,Housing Choice Vouchers,3,90047,90047,2154,88,1814,96,5,4,2.1,3742,503,1145,19197,9306,8,9,38,10,34,27,14,58,21,94,79,3,31,78,31,31,81,27,2,41,26,32,2,97,90,0,0,3,1,5,0,6,0,15,164,99,102,35,46,19,23,20,99,62,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90048,10,Housing Choice Vouchers,3,90048,90048,67,87,55,95,6,-1,1.3,72,369,1145,14732,11254,2,-1,67,22,9,7,2,91,18,98,93,-1,5,76,5,57,100,81,-1,11,15,75,18,11,4,-1,2,89,-1,5,-1,5,0,-1,206,100,63,82,16,2,9,7,19,39,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90049,10,Housing Choice Vouchers,3,90049,90049,10,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90056,10,Housing Choice Vouchers,3,90056,90056,10,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90057,10,Housing Choice Vouchers,3,90057,90057,849,86,697,95,5,5,1.4,996,358,1145,14007,9802,10,6,60,11,13,10,11,77,16,98,93,2,8,50,8,52,85,56,0,19,19,62,4,83,36,1,14,17,1,32,0,33,0,40,112,96,43,76,17,7,7,35,94,2,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90058,10,Housing Choice Vouchers,3,90058,90058,12,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90059,10,Housing Choice Vouchers,3,90059,90059,728,88,616,96,5,3,3.0,1831,590,1145,21401,7200,7,8,33,10,42,31,18,49,21,95,79,6,43,81,46,27,82,20,1,51,25,24,1,98,79,0,0,2,0,18,0,19,0,23,157,99,126,21,28,51,23,28,99,64,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90061,10,Housing Choice Vouchers,3,90061,90061,1001,87,836,96,5,5,2.6,2184,540,1145,20050,7675,9,9,32,12,38,27,20,52,21,95,81,4,42,79,42,32,77,21,1,52,27,20,1,97,84,0,0,3,1,11,0,12,0,31,145,99,100,23,41,36,26,29,99,58,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90062,10,Housing Choice Vouchers,3,90062,90062,1185,86,972,95,6,2,2.1,2056,482,1145,18167,8589,8,10,42,11,30,26,13,59,20,96,83,3,28,78,29,35,83,28,1,37,29,32,3,98,87,0,1,2,1,9,0,10,0,25,178,100,106,46,36,19,14,24,99,51,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90063,10,Housing Choice Vouchers,3,90063,90063,204,90,179,98,6,5,2.7,475,506,1146,18735,7060,8,10,38,12,32,25,17,57,19,97,85,4,44,77,45,28,67,20,1,46,24,29,3,94,10,-1,1,6,2,80,1,83,1,14,157,97,93,28,38,34,20,21,99,66,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90064,10,Housing Choice Vouchers,3,90064,90064,12,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90065,10,Housing Choice Vouchers,3,90065,90065,336,86,275,95,5,6,1.5,421,399,1144,15561,10164,11,7,46,13,22,11,11,76,18,97,88,3,10,50,11,59,74,49,1,23,25,51,5,72,28,0,6,28,0,36,1,37,0,17,111,100,65,68,27,5,9,18,86,46,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90066,10,Housing Choice Vouchers,3,90066,90066,281,71,190,95,8,6,1.5,276,443,1162,18039,12418,1,8,49,17,24,14,2,83,22,93,82,1,8,59,7,37,80,53,1,15,12,73,6,67,27,-1,9,33,2,28,1,31,0,16,112,100,52,79,17,3,5,22,73,26,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90068,10,Housing Choice Vouchers,3,90068,90068,54,86,44,95,3,2,1.3,55,358,1144,14248,11399,2,5,57,27,9,11,5,84,17,100,100,2,-1,70,2,56,83,71,-1,2,18,80,9,36,18,-1,11,64,-1,7,-1,7,0,-1,142,95,50,86,11,2,7,19,28,14,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90069,10,Housing Choice Vouchers,3,90069,90069,55,92,50,99,6,-1,1.3,65,359,1147,14583,11218,-1,2,60,28,10,4,-1,96,18,100,100,-1,-1,56,-1,75,76,68,-1,2,22,76,16,14,8,-1,-1,86,-1,6,-1,6,0,-1,217,94,58,58,42,-1,20,12,21,10,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90073,10,Housing Choice Vouchers,3,90073,90073,64,86,52,95,8,4,1.0,54,528,1144,21675,20872,17,8,29,8,38,12,12,75,27,85,67,-1,-1,8,-1,87,70,74,-1,-1,29,71,2,56,42,-1,2,44,2,10,-1,12,0,12,37,-1,-1,100,-1,-1,-1,65,60,45,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90094,10,Housing Choice Vouchers,3,90094,90094,13,86,11,95,6,-1,1.5,16,403,1144,15672,10774,-1,-1,45,45,9,-1,-1,100,19,100,91,-1,-1,73,-1,-1,90,69,-1,-1,9,91,36,55,36,-1,9,45,-1,9,-1,9,0,-1,160,100,58,73,18,9,-1,10,50,8,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90201,10,Housing Choice Vouchers,3,90201,90201,808,92,736,99,5,3,2.2,1587,496,1147,17771,8242,9,9,42,12,28,22,12,65,19,97,84,4,25,74,26,32,55,24,1,31,23,45,5,94,10,0,1,6,0,82,1,83,0,19,144,99,74,41,37,22,16,28,96,49,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90210,10,Housing Choice Vouchers,3,90210,90210,3,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90211,10,Housing Choice Vouchers,3,90211,90211,3,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90212,10,Housing Choice Vouchers,3,90212,90212,2,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,31080,NA,NA,NA,,NA,NA
31-Dec-20,ZIPCODE,90220,10,Housing Choice Vouchers,3,90220,90220,611,83,499,99,5,5,2.9,1434,530,1131,20544,7149,6,9,34,13,39,32,16,50,20,97,82,6,43,88,46,17,68,14,-1,52,25,23,2,99,66,0,5,1,0,26,0,27,0,125,146,100,82,21,38,41,19,27,99,55,NA,31080,NA,NA,NA,,NA,NA
