year,PHA,zip,sro,1bd,2bd,3bd,4bd,Zip_CBSA_ratio
2017,LA Metro,90001,$780 ,$940 ,"$1,230 ","$1,660 ","$1,870 ",0.762
2018,LA Metro,90001,$890 ,"$1,080 ","$1,390 ","$1,870 ","$2,070 ",
2019,LA Metro,90001,$970 ,"$1,160 ","$1,500 ","$2,010 ","$2,230 ",
2020,LA Metro,90001,"$1,050 ","$1,250 ","$1,620 ","$2,170 ","$2,380 ",
2021,LA Metro,90001,"$1,160 ","$1,370 ","$1,770 ","$2,360 ","$2,580 ",
2022,LA Metro,90001,"$1,240 ","$1,450 ","$1,860 ","$2,470 ","$2,690 ",
2017,LA Metro,90002,$800 ,$960 ,"$1,260 ","$1,700 ","$1,920 ",0.779
2018,LA Metro,90002,$890 ,"$1,080 ","$1,390 ","$1,870 ","$2,070 ",
2019,LA Metro,90002,$970 ,"$1,160 ","$1,500 ","$2,010 ","$2,230 ",
2020,LA Metro,90002,"$1,050 ","$1,250 ","$1,620 ","$2,170 ","$2,380 ",
2021,LA Metro,90002,"$1,160 ","$1,370 ","$1,770 ","$2,360 ","$2,580 ",
2022,LA Metro,90002,"$1,240 ","$1,450 ","$1,860 ","$2,470 ","$2,690 ",
2017,LA Metro,90003,$840 ,"$1,010 ","$1,320 ","$1,780 ","$2,010 ",0.82
2018,LA Metro,90003,$900 ,"$1,080 ","$1,400 ","$1,870 ","$2,070 ",
2019,LA Metro,90003,$980 ,"$1,170 ","$1,510 ","$2,020 ","$2,230 ",
2020,LA Metro,90003,"$1,070 ","$1,260 ","$1,630 ","$2,180 ","$2,380 ",
2021,LA Metro,90003,"$1,160 ","$1,370 ","$1,770 ","$2,360 ","$2,580 ",
2022,LA Metro,90003,"$1,240 ","$1,450 ","$1,860 ","$2,470 ","$2,690 ",
2017,LA Metro,90004,$850 ,"$1,020 ","$1,340 ","$1,810 ","$2,040 ",0.832
2018,LA Metro,90004,"$1,140 ","$1,370 ","$1,770 ","$2,380 ","$2,630 ",
2019,LA Metro,90004,"$1,230 ","$1,470 ","$1,900 ","$2,550 ","$2,800 ",
2020,LA Metro,90004,"$1,330 ","$1,570 ","$2,030 ","$2,710 ","$2,960 ",
2021,LA Metro,90004,"$1,400 ","$1,650 ","$2,110 ","$2,800 ","$3,060 ",
2022,LA Metro,90004,"$1,410 ","$1,630 ","$2,080 ","$2,740 ","$2,980 ",
2017,LA Metro,90005,$750 ,$910 ,"$1,190 ","$1,610 ","$1,810 ",0.735
2018,LA Metro,90005,"$1,140 ","$1,370 ","$1,770 ","$2,370 ","$2,620 ",
2019,LA Metro,90005,"$1,250 ","$1,490 ","$1,930 ","$2,590 ","$2,850 ",
2020,LA Metro,90005,"$1,390 ","$1,650 ","$2,130 ","$2,850 ","$3,110 ",
2021,LA Metro,90005,"$1,500 ","$1,760 ","$2,250 ","$2,990 ","$3,260 ",
2022,LA Metro,90005,"$1,520 ","$1,760 ","$2,240 ","$2,950 ","$3,210 ",
2017,LA Metro,90006,$740 ,$890 ,"$1,170 ","$1,580 ","$1,780 ",0.728
2018,LA Metro,90006,$970 ,"$1,160 ","$1,510 ","$2,020 ","$2,230 ",
2019,LA Metro,90006,"$1,050 ","$1,260 ","$1,630 ","$2,190 ","$2,400 ",
2020,LA Metro,90006,"$1,140 ","$1,360 ","$1,750 ","$2,340 ","$2,560 ",
2021,LA Metro,90006,"$1,200 ","$1,410 ","$1,810 ","$2,410 ","$2,620 ",
2022,LA Metro,90006,"$1,240 ","$1,450 ","$1,860 ","$2,470 ","$2,690 ",
2017,LA Metro,90007,$820 ,$980 ,"$1,290 ","$1,740 ","$1,960 ",0.802
2018,LA Metro,90007,"$1,000 ","$1,200 ","$1,560 ","$2,090 ","$2,310 ",
2019,LA Metro,90007,"$1,070 ","$1,280 ","$1,660 ","$2,230 ","$2,450 ",
2020,LA Metro,90007,"$1,170 ","$1,390 ","$1,790 ","$2,390 ","$2,610 ",
2021,LA Metro,90007,"$1,240 ","$1,450 ","$1,860 ","$2,470 ","$2,700 ",
2022,LA Metro,90007,"$1,240 ","$1,450 ","$1,860 ","$2,470 ","$2,690 ",
2017,LA Metro,90008,$830 ,"$1,000 ","$1,310 ","$1,770 ","$1,990 ",0.814
2018,LA Metro,90008,$950 ,"$1,140 ","$1,480 ","$1,980 ","$2,190 ",
2019,LA Metro,90008,"$1,020 ","$1,220 ","$1,580 ","$2,120 ","$2,330 ",
2020,LA Metro,90008,"$1,110 ","$1,310 ","$1,690 ","$2,260 ","$2,470 ",
2021,LA Metro,90008,"$1,180 ","$1,390 ","$1,780 ","$2,370 ","$2,580 ",
2022,LA Metro,90008,"$1,240 ","$1,450 ","$1,860 ","$2,470 ","$2,690 ",
2017,LA Metro,90009,$980 ,"$1,170 ","$1,540 ","$2,080 ","$2,340 ",0.951
2018,LA Metro,90009,"$1,070 ","$1,280 ","$1,660 ","$2,230 ","$2,470 ",
2019,LA Metro,90009,"$1,160 ","$1,380 ","$1,790 ","$2,400 ","$2,640 ",
2020,LA Metro,90009,"$1,280 ","$1,520 ","$1,960 ","$2,620 ","$2,860 ",
2021,LA Metro,90009,"$1,370 ","$1,610 ","$2,060 ","$2,740 ","$2,990 ",
2022,LA Metro,90009,"$1,380 ","$1,600 ","$2,040 ","$2,690 ","$2,930 ",
2017,LA Metro,90010,"$1,350 ","$1,620 ","$2,130 ","$2,880 ","$3,240 ",1.317
2018,LA Metro,90010,"$1,460 ","$1,750 ","$2,270 ","$3,050 ","$3,370 ",
2019,LA Metro,90010,"$1,560 ","$1,870 ","$2,420 ","$3,240 ","$3,570 ",
2020,LA Metro,90010,"$1,700 ","$2,020 ","$2,600 ","$3,470 ","$3,800 ",
2021,LA Metro,90010,"$1,800 ","$2,110 ","$2,710 ","$3,600 ","$3,930 ",
2022,LA Metro,90010,"$1,820 ","$2,110 ","$2,690 ","$3,540 ","$3,860 ",
2017,LA Metro,90011,$790 ,$950 ,"$1,240 ","$1,680 ","$1,890 ",0.77
2018,LA Metro,90011,$890 ,"$1,080 ","$1,390 ","$1,870 ","$2,070 ",
2019,LA Metro,90011,$970 ,"$1,160 ","$1,500 ","$2,010 ","$2,230 ",
2020,LA Metro,90011,"$1,050 ","$1,250 ","$1,620 ","$2,170 ","$2,380 ",
2021,LA Metro,90011,"$1,160 ","$1,370 ","$1,770 ","$2,360 ","$2,580 ",
2022,LA Metro,90011,"$1,240 ","$1,450 ","$1,860 ","$2,470 ","$2,690 ",
2017,LA Metro,90012,$950 ,"$1,140 ","$1,490 ","$2,010 ","$2,270 ",0.924
2018,LA Metro,90012,$930 ,"$1,120 ","$1,460 ","$1,950 ","$2,160 ",
2019,LA Metro,90012,"$1,030 ","$1,240 ","$1,600 ","$2,140 ","$2,360 ",
2020,LA Metro,90012,"$1,160 ","$1,370 ","$1,770 ","$2,370 ","$2,590 ",
2021,LA Metro,90012,"$1,280 ","$1,510 ","$1,930 ","$2,570 ","$2,800 ",
2022,LA Metro,90012,"$1,370 ","$1,590 ","$2,030 ","$2,670 ","$2,910 ",
2017,LA Metro,90013,"$1,030 ","$1,240 ","$1,630 ","$2,200 ","$2,480 ",1.01
2018,LA Metro,90013,"$1,190 ","$1,440 ","$1,860 ","$2,500 ","$2,760 ",
2019,LA Metro,90013,"$1,350 ","$1,610 ","$2,090 ","$2,800 ","$3,080 ",
2020,LA Metro,90013,"$1,520 ","$1,800 ","$2,320 ","$3,100 ","$3,390 ",
2021,LA Metro,90013,"$1,610 ","$1,890 ","$2,420 ","$3,220 ","$3,510 ",
2022,LA Metro,90013,"$1,630 ","$1,880 ","$2,400 ","$3,160 ","$3,440 ",
2017,LA Metro,90014,"$1,150 ","$1,380 ","$1,810 ","$2,450 ","$2,760 ",1.124
